"",BBDA1.M.DE.N.EX.S.A.IT.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.IT.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Italy / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:12,
1990-07,2639544,
1990-08,1857636,
1990-09,2452520,
1990-10,2899622,
1990-11,2702954,
1990-12,2157263,
1991-01,2643638,
1991-02,2485628,
1991-03,2647173,
1991-04,2650588,
1991-05,2610132,
1991-06,2672637,
1991-07,2894135,
1991-08,1897102,
1991-09,2570180,
1991-10,2987562,
1991-11,2766906,
1991-12,2510800,
1992-01,2729849,
1992-02,2722023,
1992-03,3115458,
1992-04,3037444,
1992-05,2643428,
1992-06,2572441,
1992-07,3028427,
1992-08,1824874,
1992-09,2707742,
1992-10,2806627,
1992-11,2486406,
1992-12,2227193,
1993-01,1942367,
1993-02,2176601,
1993-03,2285403,
1993-04,2056746,
1993-05,2073100,
1993-06,2061868,
1993-07,1911248,
1993-08,1508886,
1993-09,2066615,
1993-10,2179750,
1993-11,2137530,
1993-12,1869049,
1994-01,1971616,
1994-02,2057733,
1994-03,2597812,
1994-04,2238236,
1994-05,2328907,
1994-06,2553802,
1994-07,2173626,
1994-08,1600992,
1994-09,2372248,
1994-10,2321063,
1994-11,2266025,
1994-12,2345015,
1995-01,2394462,
1995-02,2462913,
1995-03,2526205,
1995-04,2243668,
1995-05,2508610,
1995-06,2675091,
1995-07,2390184,
1995-08,1797921,
1995-09,2525639,
1995-10,2674261,
1995-11,2460343,
1995-12,2419707,
1996-01,2647312,
1996-02,2637661,
1996-03,2713715,
1996-04,2630172,
1996-05,2427759,
1996-06,2516330,
1996-07,2834310,
1996-08,1707360,
1996-09,2473440,
1996-10,2745053,
1996-11,2558713,
1996-12,2412923,
1997-01,2423197,
1997-02,2702932,
1997-03,2753570,
1997-04,2787898,
1997-05,2789880,
1997-06,3071461,
1997-07,2868112,
1997-08,1999217,
1997-09,2826433,
1997-10,3069305,
1997-11,2977765,
1997-12,2991075,
1998-01,2844240,
1998-02,3170372,
1998-03,3163779,
1998-04,3402824,
1998-05,3055591,
1998-06,3304260,
1998-07,3171962,
1998-08,2073946,
1998-09,2910369,
1998-10,3218722,
1998-11,3194754,
1998-12,2551915,
1999-01,2864771,
1999-02,3125406,
1999-03,3282830,
1999-04,3157632,
1999-05,3240542,
1999-06,3476733,
1999-07,3238172,
1999-08,2480262,
1999-09,3140957,
1999-10,3310771,
1999-11,3779890,
1999-12,3237510,
2000-01,3281181,
2000-02,3642192,
2000-03,3956328,
2000-04,3606096,
2000-05,3951135,
2000-06,3874116,
2000-07,3888789,
2000-08,2951826,
2000-09,3664783,
2000-10,4339151,
2000-11,4221414,
2000-12,3633958,
2001-01,4043524,
2001-02,4101172,
2001-03,4255035,
2001-04,3873175,
2001-05,3846954,
2001-06,4140469,
2001-07,4175636,
2001-08,3216907,
2001-09,3610637,
2001-10,4283281,
2001-11,4067940,
2001-12,3504301,
2002-01,3756249,
2002-02,3761917,
2002-03,3987743,
2002-04,4051703,
2002-05,3718333,
2002-06,4496998,
2002-07,4145844,
2002-08,3184891,
2002-09,3852445,
2002-10,4235002,
2002-11,4349825,
2002-12,3793964,
2003-01,3930752,
2003-02,3947680,
2003-03,4408354,
2003-04,3984433,
2003-05,3964629,
2003-06,4006399,
2003-07,4310076,
2003-08,2889377,
2003-09,4087429,
2003-10,4474430,
2003-11,4519406,
2003-12,3891313,
2004-01,4127045,
2004-02,4235735,
2004-03,4631140,
2004-04,4260341,
2004-05,4333290,
2004-06,4522868,
2004-07,4323993,
2004-08,3290134,
2004-09,4394986,
2004-10,4555923,
2004-11,4897337,
2004-12,3906401,
2005-01,4183744,
2005-02,4253637,
2005-03,4587813,
2005-04,4506649,
2005-05,4415608,
2005-06,4897533,
2005-07,4556989,
2005-08,3410070,
2005-09,4685522,
2005-10,4699018,
2005-11,5249776,
2005-12,4408900,
2006-01,4809544,
2006-02,4862873,
2006-03,5309148,
2006-04,4856809,
2006-05,5004973,
2006-06,5216800,
2006-07,4964241,
2006-08,3779719,
2006-09,5044273,
2006-10,5461464,
2006-11,5447084,
2006-12,4590648,
2007-01,5266395,
2007-02,5355465,
2007-03,5888624,
2007-04,5577139,
2007-05,5525560,
2007-06,5692676,
2007-07,5494654,
2007-08,4073727,
2007-09,5421997,
2007-10,5786795,
2007-11,5878595,
2007-12,4537136,
2008-01,5333536,
2008-02,5302835,
2008-03,5333492,
2008-04,5812115,
2008-05,5181990,
2008-06,5592630,
2008-07,5438477,
2008-08,3797360,
2008-09,5711917,
2008-10,5733411,
2008-11,4852328,
2008-12,3924672,
2009-01,4234933,
2009-02,4014218,
2009-03,4848005,
2009-04,4089712,
2009-05,3854106,
2009-06,4204362,
2009-07,4476513,
2009-08,2847498,
2009-09,4615311,
2009-10,4675242,
2009-11,4679504,
2009-12,4080130,
2010-01,4102567,
2010-02,4642151,
2010-03,5103183,
2010-04,4565081,
2010-05,4785324,
2010-06,5313926,
2010-07,5025186,
2010-08,3549686,
2010-09,5378550,
2010-10,5586716,
2010-11,5525891,
2010-12,5010456,
2011-01,4919466,
2011-02,5132200,
2011-03,6209214,
2011-04,5196874,
2011-05,5502305,
2011-06,5582942,
2011-07,5163672,
2011-08,3961492,
2011-09,5559587,
2011-10,5177231,
2011-11,5358285,
2011-12,4280332,
2012-01,4722655,
2012-02,4965325,
2012-03,5146643,
2012-04,4766282,
2012-05,5180190,
2012-06,4787364,
2012-07,4701306,
2012-08,3512894,
2012-09,4502516,
2012-10,4874713,
2012-11,4543332,
2012-12,3825497,
2013-01,4693776,
2013-02,4430701,
2013-03,4689126,
2013-04,4648901,
2013-05,4470058,
2013-06,4612437,
2013-07,4625717,
2013-08,3339980,
2013-09,4698443,
2013-10,4799547,
2013-11,4538538,
2013-12,3700107,
2014-01,4740520,
2014-02,4589617,
2014-03,4670259,
2014-04,4532723,
2014-05,4573521,
2014-06,4716838,
2014-07,4881119,
2014-08,3306940,
2014-09,5046511,
2014-10,4932299,
2014-11,4618360,
2014-12,3872324,
