"",BBK01.OECI05U,BBK01.OECI05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:51,
2002-01,0.033,
2002-04,0.033,
2002-07,0.033,
2002-10,0.024,
2003-01,0.023,
2003-04,0.021,
2003-07,0.028,
2003-10,0.028,
2004-01,0.023,
2004-04,0.027,
2004-07,0.027,
2004-10,0.029,
2005-01,0.082,
2005-04,0.078,
2005-07,0.076,
2005-10,0.070,
2006-01,0.069,
2006-04,0.068,
2006-07,0.067,
2006-10,0.064,
2007-01,0.063,
2007-04,0.061,
2007-07,0.061,
2007-10,0.059,
2008-01,0.057,
2008-04,0.049,
2008-07,0.051,
2008-10,0.058,
2009-01,0.064,
2009-04,0.072,
2009-07,0.086,
2009-10,0.094,
2010-01,0.101,
2010-04,0.098,
2010-07,0.100,
2010-10,0.100,
2011-01,0.097,
2011-04,0.079,
2011-07,0.067,
2011-10,0.061,
2012-01,0.062,
2012-04,0.069,
2012-07,0.065,
2012-10,0.058,
2013-01,0.052,
2013-04,0.050,
2013-07,0.053,
2013-10,0.051,
2014-01,0.047,
2014-04,0.036,
2014-07,0.033,
