"",BBK01.OEAI09S,BBK01.OEAI09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:02,
2002-01,2.673,
2002-04,2.649,
2002-07,2.634,
2002-10,2.618,
2003-01,2.509,
2003-04,2.386,
2003-07,2.259,
2003-10,2.279,
2004-01,2.173,
2004-04,2.085,
2004-07,1.929,
2004-10,1.917,
2005-01,1.779,
2005-04,1.675,
2005-07,1.677,
2005-10,1.708,
2006-01,1.790,
2006-04,1.890,
2006-07,1.963,
2006-10,2.147,
2007-01,2.496,
2007-04,2.634,
2007-07,2.835,
2007-10,3.010,
2008-01,3.057,
2008-04,3.132,
2008-07,3.123,
2008-10,3.380,
2009-01,3.277,
2009-04,3.167,
2009-07,2.903,
2009-10,2.584,
2010-01,2.315,
2010-04,2.241,
2010-07,2.118,
2010-10,2.179,
2011-01,2.250,
2011-04,2.251,
2011-07,2.228,
2011-10,2.176,
2012-01,2.140,
2012-04,2.171,
2012-07,2.100,
2012-10,1.988,
2013-01,1.896,
2013-04,1.830,
2013-07,1.753,
2013-10,1.717,
2014-01,1.730,
2014-04,1.643,
2014-07,1.653,
