"",BBSF2.M.1.S.00000.REN01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.REN01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Bonds funds / Short-term debt securities,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:41,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,276,
1993-05,205,
1993-06,186,
1993-07,314,
1993-08,323,
1993-09,271,
1993-10,287,
1993-11,225,
1993-12,144,
1994-01,157,
1994-02,161,
1994-03,175,
1994-04,137,
1994-05,429,
1994-06,513,
1994-07,240,
1994-08,234,
1994-09,159,
1994-10,152,
1994-11,136,
1994-12,107,
1995-01,76,
1995-02,94,
1995-03,469,
1995-04,670,
1995-05,878,
1995-06,930,
1995-07,689,
1995-08,608,
1995-09,230,
1995-10,79,
1995-11,47,
1995-12,63,
1996-01,165,
1996-02,161,
1996-03,284,
1996-04,116,
1996-05,56,
1996-06,113,
1996-07,182,
1996-08,192,
1996-09,121,
1996-10,72,
1996-11,211,
1996-12,393,
1997-01,437,
1997-02,498,
1997-03,658,
1997-04,459,
1997-05,690,
1997-06,581,
1997-07,371,
1997-08,402,
1997-09,435,
1997-10,382,
1997-11,442,
1997-12,516,
1998-01,493,
1998-02,467,
1998-03,457,
1998-04,482,
1998-05,282,
1998-06,289,
1998-07,351,
1998-08,669,
1998-09,452,
1998-10,460,
1998-11,443,
1998-12,560,
1999-01,346,
1999-02,299,
1999-03,664,
1999-04,710,
1999-05,414,
1999-06,113,
1999-07,268,
1999-08,210,
1999-09,191,
1999-10,213,
1999-11,97,
1999-12,316,
2000-01,224,
2000-02,237,
2000-03,177,
2000-04,313,
2000-05,274,
2000-06,441,
2000-07,388,
2000-08,431,
2000-09,332,
2000-10,305,
2000-11,190,
2000-12,169,
2001-01,207,
2001-02,309,
2001-03,141,
2001-04,388,
2001-05,324,
2001-06,333,
2001-07,232,
2001-08,316,
2001-09,255,
2001-10,298,
2001-11,275,
2001-12,592,
2002-01,257,
2002-02,465,
2002-03,226,
2002-04,195,
2002-05,328,
2002-06,265,
2002-07,274,
2002-08,232,
2002-09,270,
2002-10,316,
2002-11,179,
2002-12,66,
2003-01,403,
2003-02,108,
2003-03,533,
2003-04,453,
2003-05,430,
2003-06,505,
2003-07,449,
2003-08,398,
2003-09,600,
2003-10,553,
2003-11,496,
2003-12,436,
2004-01,323,
2004-02,281,
2004-03,277,
2004-04,345,
2004-05,379,
2004-06,509,
2004-07,324,
2004-08,402,
2004-09,479,
2004-10,415,
2004-11,400,
2004-12,387,
2005-01,341,
2005-02,415,
2005-03,405,
2005-04,672,
2005-05,889,
2005-06,778,
2005-07,721,
2005-08,1308,
2005-09,787,
2005-10,311,
2005-11,341,
2005-12,433,
2006-01,349,
2006-02,144,
2006-03,243,
2006-04,251,
2006-05,312,
2006-06,370,
2006-07,326,
2006-08,300,
2006-09,341,
2006-10,315,
2006-11,286,
2006-12,288,
2007-01,373,
2007-02,418,
2007-03,506,
2007-04,821,
2007-05,533,
2007-06,776,
2007-07,651,
2007-08,947,
2007-09,1032,
2007-10,1629,
2007-11,1303,
2007-12,3107,
2008-01,1997,
2008-02,2187,
2008-03,2058,
2008-04,1873,
2008-05,1966,
2008-06,2007,
2008-07,2120,
2008-08,2220,
2008-09,2259,
2008-10,1461,
2008-11,1260,
2008-12,1075,
2009-01,893,
2009-02,961,
2009-03,909,
2009-04,869,
2009-05,680,
2009-06,667,
2009-07,721,
2009-08,694,
2009-09,3251,
2009-10,3221,
2009-11,3095,
2009-12,1075,
2010-01,2487,
2010-02,1353,
2010-03,790,
2010-04,860,
2010-05,1033,
2010-06,1202,
2010-07,1009,
2010-08,961,
2010-09,1075,
2010-10,882,
2010-11,1084,
2010-12,961,
2011-01,850,
2011-02,1695,
2011-03,1026,
2011-04,998,
2011-05,872,
2011-06,869,
2011-07,1028,
2011-08,930,
2011-09,1152,
2011-10,1122,
2011-11,1105,
2011-12,1082,
2012-01,953,
2012-02,852,
2012-03,1052,
2012-04,1464,
2012-05,1639,
2012-06,1904,
2012-07,1849,
2012-08,1615,
2012-09,1109,
2012-10,1464,
2012-11,1436,
2012-12,1435,
2013-01,1393,
2013-02,1818,
2013-03,1943,
2013-04,1552,
2013-05,1667,
2013-06,2032,
2013-07,2367,
2013-08,2167,
2013-09,1933,
2013-10,2513,
2013-11,1808,
2013-12,1425,
2014-01,1771,
2014-02,1844,
2014-03,1970,
2014-04,2179,
2014-05,3627,
2014-06,3384,
2014-07,3859,
2014-08,3844,
2014-09,3429,
2014-10,1931,
2014-11,1477,
