"",BBK01.OEAO02G,BBK01.OEAO02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:29,
2002-01,14.111,
2002-04,11.327,
2002-07,10.728,
2002-10,11.785,
2003-01,13.176,
2003-04,10.422,
2003-07,10.639,
2003-10,11.837,
2004-01,13.592,
2004-04,10.624,
2004-07,10.655,
2004-10,12.611,
2005-01,12.477,
2005-04,10.450,
2005-07,10.108,
2005-10,10.301,
2006-01,11.774,
2006-04,10.684,
2006-07,10.010,
2006-10,11.684,
2007-01,13.053,
2007-04,10.280,
2007-07,9.666,
2007-10,11.388,
2008-01,11.389,
2008-04,9.942,
2008-07,9.462,
2008-10,14.048,
2009-01,13.276,
2009-04,13.118,
2009-07,14.650,
2009-10,16.318,
2010-01,13.910,
2010-04,10.012,
2010-07,9.257,
2010-10,11.227,
2011-01,11.775,
2011-04,9.853,
2011-07,9.660,
2011-10,9.510,
2012-01,11.020,
2012-04,9.756,
2012-07,9.615,
2012-10,10.274,
2013-01,10.522,
2013-04,9.020,
2013-07,8.549,
2013-10,8.842,
2014-01,9.263,
2014-04,8.154,
2014-07,8.966,
