"",BBK01.OELM07H,BBK01.OELM07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:04,
2002-01,0.087,
2002-04,0.083,
2002-07,0.076,
2002-10,0.075,
2003-01,0.074,
2003-04,0.074,
2003-07,0.073,
2003-10,0.075,
2004-01,0.076,
2004-04,0.079,
2004-07,0.088,
2004-10,0.097,
2005-01,0.099,
2005-04,0.100,
2005-07,0.099,
2005-10,0.111,
2006-01,0.105,
2006-04,0.100,
2006-07,0.097,
2006-10,0.092,
2007-01,0.084,
2007-04,0.080,
2007-07,0.074,
2007-10,0.064,
2008-01,0.060,
2008-04,0.059,
2008-07,0.058,
2008-10,0.060,
2009-01,0.078,
2009-04,0.089,
2009-07,0.115,
2009-10,0.143,
2010-01,0.150,
2010-04,0.163,
2010-07,0.174,
2010-10,0.184,
2011-01,0.192,
2011-04,0.200,
2011-07,0.201,
2011-10,0.212,
2012-01,0.191,
2012-04,0.200,
2012-07,0.227,
2012-10,0.232,
2013-01,0.268,
2013-04,0.288,
2013-07,0.305,
2013-10,0.308,
2014-01,0.343,
2014-04,0.350,
2014-07,0.349,
