"",BBK01.OEAE07L,BBK01.OEAE07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:06,
2002-01,5.313,
2002-04,5.223,
2002-07,5.235,
2002-10,5.397,
2003-01,5.511,
2003-04,5.403,
2003-07,5.548,
2003-10,5.503,
2004-01,5.502,
2004-04,5.285,
2004-07,5.282,
2004-10,5.227,
2005-01,5.221,
2005-04,5.114,
2005-07,5.020,
2005-10,4.989,
2006-01,5.057,
2006-04,4.971,
2006-07,4.936,
2006-10,4.942,
2007-01,5.124,
2007-04,5.192,
2007-07,5.395,
2007-10,5.464,
2008-01,5.422,
2008-04,5.427,
2008-07,5.576,
2008-10,5.641,
2009-01,5.538,
2009-04,5.737,
2009-07,5.407,
2009-10,5.347,
2010-01,5.203,
2010-04,5.330,
2010-07,5.569,
2010-10,5.568,
2011-01,5.606,
2011-04,5.696,
2011-07,5.685,
2011-10,5.681,
2012-01,5.810,
2012-04,7.175,
2012-07,7.128,
2012-10,7.263,
2013-01,7.275,
2013-04,7.109,
2013-07,7.095,
2013-10,7.067,
2014-01,6.975,
2014-04,7.006,
2014-07,6.924,
