"",BBFN1.M.DE.N.1.A.SA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Saudi Arabia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:46,
1994-12,0.674,
1995-01,0.643,
1995-02,0.642,
1995-03,0.644,
1995-04,0.663,
1995-05,0.649,
1995-06,0.675,
1995-07,0.693,
1995-08,0.719,
1995-09,0.706,
1995-10,0.731,
1995-11,0.818,
1995-12,0.768,
1996-01,0.710,
1996-02,0.913,
1996-03,0.840,
1996-04,0.840,
1996-05,0.886,
1996-06,0.884,
1996-07,0.879,
1996-08,0.862,
1996-09,0.843,
1996-10,0.930,
1996-11,0.834,
1996-12,0.794,
1997-01,0.791,
1997-02,0.781,
1997-03,0.804,
1997-04,0.798,
1997-05,0.787,
1997-06,0.804,
1997-07,0.840,
1997-08,0.849,
1997-09,0.875,
1997-10,0.868,
1997-11,0.783,
1997-12,0.778,
1998-01,0.794,
1998-02,0.830,
1998-03,0.806,
1998-04,0.810,
1998-05,0.777,
1998-06,0.601,
1998-07,0.636,
1998-08,0.608,
1998-09,0.610,
1998-10,0.621,
1998-11,0.666,
1998-12,0.600,
1999-01,0.623,
1999-02,0.630,
1999-03,0.631,
1999-04,0.587,
1999-05,0.589,
1999-06,0.593,
1999-07,0.592,
1999-08,0.671,
1999-09,0.663,
1999-10,0.685,
1999-11,0.701,
1999-12,0.682,
2000-01,0.658,
2000-02,0.665,
2000-03,0.689,
2000-04,0.689,
2000-05,0.731,
2000-06,0.728,
2000-07,0.749,
2000-08,0.779,
2000-09,0.751,
2000-10,0.795,
2000-11,0.807,
2000-12,0.820,
2001-01,0.807,
2001-02,0.798,
2001-03,0.845,
2001-04,0.823,
2001-05,0.802,
2001-06,0.870,
2001-07,0.840,
2001-08,0.792,
2001-09,0.880,
2001-10,0.868,
2001-11,0.870,
2001-12,0.889,
2002-01,0.786,
2002-02,0.829,
2002-03,0.816,
2002-04,0.853,
2002-05,0.871,
2002-06,0.974,
2002-07,0.982,
2002-08,0.959,
2002-09,0.976,
2002-10,0.992,
2002-11,1.085,
2002-12,1.085,
2003-01,1.101,
2003-02,1.010,
2003-03,1.071,
2003-04,1.070,
2003-05,1.024,
2003-06,1.005,
2003-07,1.025,
2003-08,1.071,
2003-09,1.010,
2003-10,1.104,
2003-11,1.109,
2003-12,1.097,
2004-01,1.085,
2004-02,1.127,
2004-03,1.092,
2004-04,1.041,
2004-05,1.068,
2004-06,1.068,
2004-07,1.079,
2004-08,1.108,
2004-09,1.122,
2004-10,1.161,
2004-11,1.214,
2004-12,1.198,
2005-01,1.260,
2005-02,1.261,
2005-03,1.296,
2005-04,1.290,
2005-05,1.331,
2005-06,1.390,
2005-07,1.394,
2005-08,1.399,
2005-09,1.427,
2005-10,1.442,
2005-11,1.521,
2005-12,1.477,
2006-01,1.487,
2006-02,1.504,
2006-03,1.499,
2006-04,1.486,
2006-05,1.447,
2006-06,1.479,
2006-07,1.493,
2006-08,1.488,
2006-09,1.482,
2006-10,1.544,
2006-11,1.586,
2006-12,1.668,
2007-01,1.656,
2007-02,1.665,
2007-03,1.519,
2007-04,1.511,
2007-05,1.475,
2007-06,1.430,
2007-07,1.504,
2007-08,1.554,
2007-09,1.523,
2007-10,1.446,
2007-11,1.448,
2007-12,1.483,
2008-01,1.402,
2008-02,1.454,
2008-03,1.496,
2008-04,1.501,
2008-05,1.548,
2008-06,1.561,
2008-07,1.637,
2008-08,1.678,
2008-09,1.599,
2008-10,1.655,
2008-11,1.712,
2008-12,1.792,
2009-01,1.701,
2009-02,1.655,
2009-03,1.658,
2009-04,1.551,
2009-05,1.558,
2009-06,1.535,
2009-07,1.516,
2009-08,1.483,
2009-09,1.489,
2009-10,1.560,
2009-11,1.542,
2009-12,1.715,
2010-01,1.590,
2010-02,1.629,
2010-03,1.710,
2010-04,1.674,
2010-05,1.731,
2010-06,1.727,
2010-07,1.708,
2010-08,1.727,
2010-09,1.702,
2010-10,1.705,
2010-11,1.708,
2010-12,1.770,
2011-01,1.713,
2011-02,1.814,
2011-03,1.734,
2011-04,1.719,
2011-05,1.741,
2011-06,1.621,
2011-07,1.648,
2011-08,1.693,
2011-09,1.637,
2011-10,1.626,
2011-11,1.662,
2011-12,1.810,
2012-01,1.887,
2012-02,1.922,
2012-03,1.769,
2012-04,1.709,
2012-05,1.740,
2012-06,1.832,
2012-07,1.802,
2012-08,1.823,
2012-09,1.843,
2012-10,1.970,
2012-11,1.856,
2012-12,1.790,
2013-01,1.746,
2013-02,1.750,
2013-03,1.790,
2013-04,1.955,
2013-05,1.943,
2013-06,1.965,
2013-07,1.668,
2013-08,2.011,
2013-09,2.054,
2013-10,2.117,
2013-11,2.110,
2013-12,2.027,
2014-01,1.954,
2014-02,2.007,
2014-03,2.060,
2014-04,2.130,
2014-05,2.033,
2014-06,2.174,
2014-07,2.265,
2014-08,2.259,
2014-09,2.351,
2014-10,2.311,
2014-11,2.359,
2014-12,2.421,
