"",BBK01.OEXL07M,BBK01.OEXL07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:28,
2002-01,3.389,
2002-04,3.283,
2002-07,3.264,
2002-10,3.345,
2003-01,3.362,
2003-04,3.329,
2003-07,3.280,
2003-10,3.307,
2004-01,3.246,
2004-04,3.207,
2004-07,3.149,
2004-10,3.028,
2005-01,3.060,
2005-04,3.046,
2005-07,2.965,
2005-10,3.025,
2006-01,3.020,
2006-04,3.023,
2006-07,2.983,
2006-10,3.024,
2007-01,3.174,
2007-04,3.219,
2007-07,3.262,
2007-10,3.437,
2008-01,3.456,
2008-04,3.413,
2008-07,3.100,
2008-10,3.626,
2009-01,3.606,
2009-04,3.583,
2009-07,3.524,
2009-10,3.565,
2010-01,3.463,
2010-04,3.602,
2010-07,3.594,
2010-10,3.898,
2011-01,4.360,
2011-04,4.327,
2011-07,4.340,
2011-10,4.401,
2012-01,4.280,
2012-04,4.260,
2012-07,4.190,
2012-10,4.131,
2013-01,3.969,
2013-04,3.844,
2013-07,3.815,
2013-10,3.839,
2014-01,3.813,
2014-04,3.779,
2014-07,3.949,
