"",BBK01.OEYB15M,BBK01.OEYB15M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:21,
2002-01,0.523,
2002-04,0.547,
2002-07,0.539,
2002-10,0.568,
2003-01,0.545,
2003-04,0.545,
2003-07,0.548,
2003-10,0.515,
2004-01,0.484,
2004-04,0.484,
2004-07,0.416,
2004-10,0.396,
2005-01,0.392,
2005-04,0.391,
2005-07,0.458,
2005-10,0.341,
2006-01,0.334,
2006-04,0.403,
2006-07,0.388,
2006-10,0.410,
2007-01,0.382,
2007-04,0.377,
2007-07,0.365,
2007-10,0.338,
2008-01,0.325,
2008-04,0.318,
2008-07,0.341,
2008-10,0.337,
2009-01,0.327,
2009-04,0.332,
2009-07,0.348,
2009-10,0.375,
2010-01,0.384,
2010-04,0.346,
2010-07,0.359,
2010-10,0.363,
2011-01,0.382,
2011-04,0.398,
2011-07,0.390,
2011-10,0.392,
2012-01,0.404,
2012-04,0.412,
2012-07,0.415,
2012-10,0.433,
2013-01,0.414,
2013-04,0.405,
2013-07,0.418,
2013-10,0.430,
2014-01,0.437,
2014-04,0.410,
2014-07,0.413,
