"",BBK01.OECL02I,BBK01.OECL02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:25,
2002-01,1.786,
2002-04,2.473,
2002-07,2.656,
2002-10,2.256,
2003-01,2.148,
2003-04,2.284,
2003-07,2.094,
2003-10,2.164,
2004-01,2.193,
2004-04,2.264,
2004-07,2.100,
2004-10,2.084,
2005-01,3.833,
2005-04,4.039,
2005-07,3.976,
2005-10,4.095,
2006-01,3.872,
2006-04,3.935,
2006-07,3.823,
2006-10,3.877,
2007-01,3.806,
2007-04,4.171,
2007-07,4.096,
2007-10,4.225,
2008-01,4.120,
2008-04,4.100,
2008-07,4.012,
2008-10,4.933,
2009-01,5.745,
2009-04,5.498,
2009-07,5.245,
2009-10,5.411,
2010-01,6.250,
2010-04,7.524,
2010-07,6.851,
2010-10,6.937,
2011-01,7.020,
2011-04,5.845,
2011-07,5.363,
2011-10,5.550,
2012-01,5.507,
2012-04,5.659,
2012-07,5.832,
2012-10,6.024,
2013-01,6.019,
2013-04,6.207,
2013-07,6.252,
2013-10,6.312,
2014-01,6.424,
2014-04,6.543,
2014-07,6.780,
