"",BBK01.OEYB10U,BBK01.OEYB10U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:53,
2002-01,0.196,
2002-04,0.190,
2002-07,0.196,
2002-10,0.205,
2003-01,0.226,
2003-04,0.203,
2003-07,0.195,
2003-10,0.181,
2004-01,0.169,
2004-04,0.145,
2004-07,0.143,
2004-10,0.146,
2005-01,0.135,
2005-04,0.122,
2005-07,0.097,
2005-10,0.094,
2006-01,0.091,
2006-04,0.084,
2006-07,0.081,
2006-10,0.082,
2007-01,0.077,
2007-04,0.068,
2007-07,0.067,
2007-10,0.071,
2008-01,0.068,
2008-04,0.066,
2008-07,0.062,
2008-10,0.062,
2009-01,0.043,
2009-04,0.055,
2009-07,0.083,
2009-10,0.053,
2010-01,0.048,
2010-04,0.034,
2010-07,0.035,
2010-10,0.028,
2011-01,0.029,
2011-04,0.025,
2011-07,0.026,
2011-10,0.025,
2012-01,0.035,
2012-04,0.033,
2012-07,0.026,
2012-10,0.026,
2013-01,0.022,
2013-04,0.028,
2013-07,0.025,
2013-10,0.023,
2014-01,0.027,
2014-04,0.025,
2014-07,0.029,
