"",BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Net exports of goods under merchanting / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:43,
1991-01,-0.07,
1991-02,0.24,
1991-03,0.02,
1991-04,0.49,
1991-05,0.35,
1991-06,0.13,
1991-07,0.07,
1991-08,-0.09,
1991-09,0.21,
1991-10,0.14,
1991-11,0.30,
1991-12,-0.18,
1992-01,0.06,
1992-02,0.08,
1992-03,-0.13,
1992-04,0.00,
1992-05,0.01,
1992-06,0.16,
1992-07,0.15,
1992-08,0.11,
1992-09,0.13,
1992-10,0.10,
1992-11,-0.05,
1992-12,0.12,
1993-01,0.39,
1993-02,-0.22,
1993-03,-0.04,
1993-04,0.26,
1993-05,-0.14,
1993-06,0.03,
1993-07,0.03,
1993-08,-0.07,
1993-09,0.09,
1993-10,0.05,
1993-11,0.20,
1993-12,0.08,
1994-01,0.17,
1994-02,0.24,
1994-03,0.05,
1994-04,-0.07,
1994-05,0.07,
1994-06,-0.07,
1994-07,0.18,
1994-08,-0.08,
1994-09,0.28,
1994-10,0.10,
1994-11,0.25,
1994-12,0.42,
1995-01,0.09,
1995-02,0.20,
1995-03,0.07,
1995-04,0.13,
1995-05,-0.15,
1995-06,-0.30,
1995-07,0.22,
1995-08,-0.35,
1995-09,0.50,
1995-10,0.19,
1995-11,0.85,
1995-12,0.39,
1996-01,0.17,
1996-02,0.48,
1996-03,0.44,
1996-04,-0.15,
1996-05,0.18,
1996-06,0.14,
1996-07,0.09,
1996-08,-0.01,
1996-09,0.26,
1996-10,0.63,
1996-11,0.37,
1996-12,0.23,
1997-01,0.07,
1997-02,-0.12,
1997-03,0.27,
1997-04,0.48,
1997-05,0.13,
1997-06,-0.22,
1997-07,-0.06,
1997-08,0.24,
1997-09,0.19,
1997-10,0.54,
1997-11,0.34,
1997-12,0.85,
1998-01,-0.09,
1998-02,-0.10,
1998-03,0.36,
1998-04,-0.15,
1998-05,0.16,
1998-06,0.10,
1998-07,0.20,
1998-08,0.47,
1998-09,-0.02,
1998-10,0.39,
1998-11,0.42,
1998-12,0.49,
1999-01,-0.22,
1999-02,0.17,
1999-03,-0.23,
1999-04,0.08,
1999-05,0.17,
1999-06,0.50,
1999-07,-0.11,
1999-08,0.31,
1999-09,0.31,
1999-10,1.05,
1999-11,0.41,
1999-12,0.16,
2000-01,0.29,
2000-02,0.18,
2000-03,0.59,
2000-04,0.24,
2000-05,0.09,
2000-06,-0.22,
2000-07,0.65,
2000-08,0.29,
2000-09,-0.10,
2000-10,0.89,
2000-11,-0.02,
2000-12,0.54,
2001-01,-0.06,
2001-02,0.62,
2001-03,0.00,
2001-04,0.37,
2001-05,-1.02,
2001-06,-0.46,
2001-07,0.29,
2001-08,0.01,
2001-09,0.31,
2001-10,0.35,
2001-11,0.83,
2001-12,1.35,
2002-01,0.42,
2002-02,0.05,
2002-03,-0.14,
2002-04,0.25,
2002-05,0.65,
2002-06,-0.08,
2002-07,0.54,
2002-08,0.19,
2002-09,-0.01,
2002-10,0.77,
2002-11,0.31,
2002-12,0.35,
2003-01,0.41,
2003-02,0.10,
2003-03,0.20,
2003-04,0.57,
2003-05,-0.09,
2003-06,-0.04,
2003-07,-0.02,
2003-08,0.49,
2003-09,-0.16,
2003-10,0.49,
2003-11,0.62,
2003-12,-0.17,
2004-01,0.21,
2004-02,0.11,
2004-03,0.37,
2004-04,0.17,
2004-05,0.75,
2004-06,0.62,
2004-07,0.74,
2004-08,0.34,
2004-09,0.58,
2004-10,0.67,
2004-11,0.21,
2004-12,-0.47,
2005-01,0.28,
2005-02,0.24,
2005-03,0.14,
2005-04,0.11,
2005-05,0.13,
2005-06,0.39,
2005-07,0.22,
2005-08,0.69,
2005-09,1.08,
2005-10,0.65,
2005-11,0.51,
2005-12,0.90,
2006-01,0.67,
2006-02,0.69,
2006-03,0.21,
2006-04,0.71,
2006-05,0.32,
2006-06,0.34,
2006-07,0.30,
2006-08,0.37,
2006-09,0.79,
2006-10,1.11,
2006-11,0.17,
2006-12,1.17,
2007-01,0.35,
2007-02,0.59,
2007-03,1.16,
2007-04,0.48,
