"",BBK01.OEAC50P,BBK01.OEAC50P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:59,
2002-01,0.805,
2002-04,0.804,
2002-07,0.791,
2002-10,0.800,
2003-01,0.778,
2003-04,0.780,
2003-07,0.748,
2003-10,0.749,
2004-01,0.752,
2004-04,0.737,
2004-07,0.736,
2004-10,0.735,
2005-01,0.773,
2005-04,0.769,
2005-07,0.772,
2005-10,0.757,
2006-01,0.761,
2006-04,0.757,
2006-07,0.757,
2006-10,0.769,
2007-01,0.755,
2007-04,0.747,
2007-07,0.742,
2007-10,0.764,
2008-01,0.756,
2008-04,0.782,
2008-07,0.792,
2008-10,0.796,
2009-01,0.748,
2009-04,0.744,
2009-07,0.763,
2009-10,0.751,
2010-01,0.740,
2010-04,0.727,
2010-07,0.678,
2010-10,0.678,
2011-01,0.652,
2011-04,0.673,
2011-07,0.681,
2011-10,0.681,
2012-01,0.677,
2012-04,0.721,
2012-07,0.731,
2012-10,0.728,
2013-01,0.719,
2013-04,0.713,
2013-07,0.701,
2013-10,0.700,
2014-01,0.690,
2014-04,0.670,
2014-07,0.665,
