"",BBK01.OEAA53V,BBK01.OEAA53V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:23,
2002-01,7.006,
2002-04,6.679,
2002-07,7.099,
2002-10,6.908,
2003-01,6.647,
2003-04,6.613,
2003-07,6.595,
2003-10,6.246,
2004-01,6.453,
2004-04,6.389,
2004-07,6.251,
2004-10,5.766,
2005-01,5.823,
2005-04,6.138,
2005-07,5.948,
2005-10,5.992,
2006-01,5.591,
2006-04,5.359,
2006-07,5.439,
2006-10,5.356,
2007-01,5.201,
2007-04,5.025,
2007-07,5.316,
2007-10,5.173,
2008-01,4.762,
2008-04,0.932,
2008-07,0.916,
2008-10,0.822,
2009-01,0.605,
2009-04,0.706,
2009-07,0.751,
2009-10,2.308,
2010-01,2.361,
2010-04,1.118,
2010-07,0.805,
2010-10,0.819,
2011-01,0.837,
2011-04,0.843,
2011-07,1.975,
2011-10,1.750,
2012-01,1.773,
2012-04,1.715,
2012-07,1.673,
2012-10,1.172,
2013-01,1.143,
2013-04,1.105,
2013-07,1.184,
2013-10,1.048,
2014-01,1.302,
2014-04,1.410,
2014-07,1.452,
