"",BBFB1.Q.N.DE.S3.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:42,
1991-01,88.762,
1991-04,212.676,
1991-07,702.630,
1991-10,804.422,
1992-01,827.079,
1992-04,482.531,
1992-07,766.841,
1992-10,749.986,
1993-01,704.483,
1993-04,583.150,
1993-07,671.251,
1993-10,868.227,
1994-01,1009.930,
1994-04,1061.186,
1994-07,734.344,
1994-10,1307.761,
1995-01,1006.316,
1995-04,600.586,
1995-07,718.870,
1995-10,976.740,
1996-01,937.654,
1996-04,885.641,
1996-07,1057.500,
1996-10,1172.471,
1997-01,1017.833,
1997-04,1099.314,
1997-07,1217.711,
1997-10,1361.494,
1998-01,1248.159,
1998-04,568.815,
1998-07,1234.495,
1998-10,1350.945,
1999-01,1325.736,
1999-04,1069.705,
1999-07,926.194,
1999-10,1148.657,
2000-01,1076.394,
2000-04,613.666,
2000-07,1197.462,
2000-10,1150.901,
2001-01,1560.187,
2001-04,1293.456,
2001-07,1535.919,
2001-10,1990.024,
2002-01,1890.394,
2002-04,1806.114,
2002-07,1652.519,
2002-10,2114.339,
2003-01,1772.072,
2003-04,1777.438,
2003-07,2180.068,
2003-10,1739.053,
2004-01,2131.217,
2004-04,2252.281,
2004-07,1888.556,
2004-10,2278.182,
2005-01,2544.822,
2005-04,2466.400,
2005-07,2734.194,
2005-10,2768.731,
2006-01,2754.376,
2006-04,2725.168,
2006-07,3008.826,
2006-10,3864.568,
2007-01,3804.086,
2007-04,3416.094,
2007-07,3976.917,
2007-10,3159.041,
2008-01,3733.214,
2008-04,3706.676,
2008-07,4344.276,
2008-10,7152.978,
2009-01,4584.003,
2009-04,3817.243,
2009-07,3838.544,
2009-10,4553.926,
2010-01,4165.842,
2010-04,4795.036,
2010-07,5726.071,
2010-10,5283.804,
2011-01,4070.323,
2011-04,3949.940,
2011-07,4061.324,
2011-10,6307.526,
2012-01,5069.759,
2012-04,5878.399,
2012-07,5961.291,
2012-10,6463.464,
2013-01,5009.930,
2013-04,5922.383,
2013-07,5513.594,
2013-10,7174.890,
2014-01,5961.117,Provisional value
2014-04,6471.513,Provisional value
2014-07,7286.387,Provisional value
