"",BBFB1.Q.N.DE.HU.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:04,
1991-01,-36.599,
1991-04,-14.579,
1991-07,-18.853,
1991-10,-15.286,
1992-01,-16.055,
1992-04,-14.781,
1992-07,-25.291,
1992-10,-19.173,
1993-01,-13.780,
1993-04,-15.736,
1993-07,-19.469,
1993-10,-22.596,
1994-01,-22.237,
1994-04,-16.612,
1994-07,-28.534,
1994-10,-26.277,
1995-01,-19.205,
1995-04,-19.106,
1995-07,-18.738,
1995-10,-19.640,
1996-01,-22.598,
1996-04,-19.364,
1996-07,-18.737,
1996-10,-21.448,
1997-01,-20.930,
1997-04,-17.957,
1997-07,-18.947,
1997-10,-19.275,
1998-01,-21.443,
1998-04,-18.829,
1998-07,-18.370,
1998-10,-21.313,
1999-01,-22.659,
1999-04,-19.776,
1999-07,-15.664,
1999-10,-22.885,
2000-01,-27.222,
2000-04,-20.530,
2000-07,-22.870,
2000-10,-18.569,
2001-01,-24.287,
2001-04,-47.698,
2001-07,-38.377,
2001-10,-19.270,
2002-01,-21.671,
2002-04,-33.131,
2002-07,-21.587,
2002-10,-26.768,
2003-01,-22.171,
2003-04,-33.822,
2003-07,-21.475,
2003-10,-28.780,
2004-01,-27.191,
2004-04,-23.676,
2004-07,-52.880,
2004-10,-12.893,
2005-01,-20.726,
2005-04,-16.853,
2005-07,-14.762,
2005-10,-11.750,
2006-01,-13.650,
2006-04,-6.635,
2006-07,-12.987,
2006-10,-14.199,
2007-01,-14.762,
2007-04,-11.288,
2007-07,-16.019,
2007-10,-19.396,
2008-01,-11.778,
2008-04,-11.192,
2008-07,-13.582,
2008-10,-15.210,
2009-01,-11.649,
2009-04,-5.274,
2009-07,-17.211,
2009-10,-12.114,
2010-01,-30.657,
2010-04,-61.524,
2010-07,-52.008,
2010-10,-30.355,
2011-01,-21.239,
2011-04,-17.760,
2011-07,-15.741,
2011-10,-16.810,
2012-01,-15.807,
2012-04,-18.555,
2012-07,-17.259,
2012-10,-11.594,
2013-01,-13.264,
2013-04,-23.421,
2013-07,-2.091,
2013-10,-6.365,
2014-01,-6.376,Provisional value
2014-04,-2.582,Provisional value
2014-07,-13.737,Provisional value
