"",BBK01.OEAH32R,BBK01.OEAH32R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:43,
2002-01,0.670,
2002-04,0.628,
2002-07,0.657,
2002-10,0.693,
2003-01,0.567,
2003-04,0.573,
2003-07,0.526,
2003-10,0.561,
2004-01,0.527,
2004-04,0.476,
2004-07,0.446,
2004-10,0.488,
2005-01,0.453,
2005-04,0.391,
2005-07,0.477,
2005-10,0.400,
2006-01,0.440,
2006-04,0.476,
2006-07,0.473,
2006-10,0.443,
2007-01,0.521,
2007-04,0.569,
2007-07,0.642,
2007-10,0.716,
2008-01,0.835,
2008-04,0.816,
2008-07,0.899,
2008-10,0.790,
2009-01,0.444,
2009-04,0.369,
2009-07,0.378,
2009-10,0.358,
2010-01,0.339,
2010-04,0.288,
2010-07,0.304,
2010-10,0.325,
2011-01,0.362,
2011-04,0.363,
2011-07,0.381,
2011-10,0.813,
2012-01,0.815,
2012-04,0.913,
2012-07,0.953,
2012-10,0.929,
2013-01,0.944,
2013-04,0.934,
2013-07,0.926,
2013-10,0.837,
2014-01,0.874,
2014-04,0.856,
2014-07,0.623,
