"",BBSF2.M.1.S.I0015.AKT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.AKT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:24,
1993-04,3,
1993-05,7,
1993-06,-,Nothing exists
1993-07,4,
1993-08,2,
1993-09,-69,
1993-10,5,
1993-11,22,
1993-12,8,
1994-01,20,
1994-02,-,Nothing exists
1994-03,33,
1994-04,8,
1994-05,0,
1994-06,0,
1994-07,17,
1994-08,0,
1994-09,1,
1994-10,2,
1994-11,7,
1994-12,10,
1995-01,8,
1995-02,21,
1995-03,10,
1995-04,12,
1995-05,-,Nothing exists
1995-06,-,Nothing exists
1995-07,27,
1995-08,0,
1995-09,-,Nothing exists
1995-10,1,
1995-11,13,
1995-12,10,
1996-01,13,
1996-02,1,
1996-03,5,
1996-04,3,
1996-05,-5,
1996-06,77,
1996-07,4,
1996-08,3,
1996-09,0,
1996-10,16,
1996-11,16,
1996-12,3,
1997-01,3,
1997-02,4,
1997-03,2,
1997-04,-,Nothing exists
1997-05,26,
1997-06,-,Nothing exists
1997-07,14,
1997-08,15,
1997-09,10,
1997-10,3,
1997-11,11,
1997-12,7,
1998-01,0,
1998-02,11,
1998-03,3,
1998-04,20,
1998-05,2,
1998-06,15,
1998-07,5,
1998-08,8,
1998-09,5,
1998-10,8,
1998-11,-14,
1998-12,57,
1999-01,53,
1999-02,8,
1999-03,7,
1999-04,0,
1999-05,0,
1999-06,0,
1999-07,0,
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,0,
1999-11,14,
1999-12,11,
2000-01,0,
2000-02,9,
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,26,
2000-07,-,Nothing exists
2000-08,20,
2000-09,23,
2000-10,15,
2000-11,-117,
2000-12,2,
2001-01,44,
2001-02,5,
2001-03,13,
2001-04,-32,
2001-05,15,
2001-06,28,
2001-07,-98,
2001-08,38,
2001-09,15,
2001-10,10,
2001-11,28,
2001-12,26,
2002-01,18,
2002-02,14,
2002-03,10,
2002-04,-,Nothing exists
2002-05,1,
2002-06,-,Nothing exists
2002-07,-,Nothing exists
2002-08,-,Nothing exists
2002-09,-,Nothing exists
2002-10,25,
2002-11,23,
2002-12,-40,
2003-01,-,Nothing exists
2003-02,0,
2003-03,-2,
2003-04,0,
2003-05,-,Nothing exists
2003-06,-98,
2003-07,-25,
2003-08,-18,
2003-09,50,
2003-10,10,
2003-11,50,
2003-12,202,
2004-01,50,
2004-02,-20,
2004-03,107,
2004-04,-10,
2004-05,-,Nothing exists
2004-06,-441,
2004-07,-,Nothing exists
2004-08,50,
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-125,
2004-12,84,
2005-01,-15,
2005-02,-,Nothing exists
2005-03,-14,
2005-04,53,
2005-05,-,Nothing exists
2005-06,55,
2005-07,-68,
2005-08,10,
2005-09,0,
2005-10,123,
2005-11,-,Nothing exists
2005-12,140,
2006-01,0,
2006-02,46,
2006-03,0,
2006-04,-,Nothing exists
2006-05,-53,
2006-06,24,
2006-07,-,Nothing exists
2006-08,2,
2006-09,-,Nothing exists
2006-10,0,
2006-11,6,
2006-12,94,
2007-01,173,
2007-02,35,
2007-03,-,Nothing exists
2007-04,0,
2007-05,5,
2007-06,17,
2007-07,-41,
2007-08,-2,
2007-09,-273,
2007-10,-4,
2007-11,3,
2007-12,4,
2008-01,109,
2008-02,-116,
2008-03,-,Nothing exists
2008-04,5,
2008-05,-,Nothing exists
2008-06,-,Nothing exists
2008-07,-41,
2008-08,-,Nothing exists
2008-09,-,Nothing exists
2008-10,-,Nothing exists
2008-11,-,Nothing exists
2008-12,-1,
2009-01,0,
2009-02,-,Nothing exists
2009-03,0,
2009-04,-,Nothing exists
2009-05,-4,
2009-06,-274,
2009-07,-363,
2009-08,-44,
2009-09,6,
2009-10,0,
2009-11,0,
2009-12,62,
2010-01,0,
2010-02,35,
2010-03,343,
2010-04,0,
2010-05,2,
2010-06,-5,
2010-07,-4,
2010-08,0,
2010-09,-2,
2010-10,-3,
2010-11,-37,
2010-12,12,
2011-01,0,
2011-02,-,Nothing exists
2011-03,-3,
2011-04,8,
2011-05,-,Nothing exists
2011-06,42,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,0,
2011-10,-15,
2011-11,-,Nothing exists
2011-12,1,
2012-01,-9,
2012-02,-2,
2012-03,-,Nothing exists
2012-04,0,
2012-05,-,Nothing exists
2012-06,-,Nothing exists
2012-07,0,
2012-08,26,
2012-09,-,Nothing exists
2012-10,-,Nothing exists
2012-11,-,Nothing exists
2012-12,-,Nothing exists
2013-01,-1,
2013-02,-51,
2013-03,-,Nothing exists
2013-04,-,Nothing exists
2013-05,100,
2013-06,25,
2013-07,-19,
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,0,
2013-11,-15,
2013-12,-10,
2014-01,0,
2014-02,-7,
2014-03,10,
2014-04,-,Nothing exists
2014-05,0,
2014-06,-,Nothing exists
2014-07,-2,
2014-08,-,Nothing exists
2014-09,4,
2014-10,-5,
2014-11,10,
