"",BBK01.OELL06O,BBK01.OELL06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:15,
2002-01,1.284,
2002-04,1.294,
2002-07,1.287,
2002-10,1.272,
2003-01,1.229,
2003-04,1.198,
2003-07,1.145,
2003-10,1.109,
2004-01,1.051,
2004-04,1.029,
2004-07,1.028,
2004-10,1.034,
2005-01,0.998,
2005-04,0.981,
2005-07,0.943,
2005-10,0.917,
2006-01,0.901,
2006-04,0.897,
2006-07,0.899,
2006-10,0.892,
2007-01,0.898,
2007-04,0.910,
2007-07,0.975,
2007-10,0.985,
2008-01,0.960,
2008-04,0.925,
2008-07,0.876,
2008-10,0.936,
2009-01,0.905,
2009-04,0.894,
2009-07,0.938,
2009-10,1.043,
2010-01,1.092,
2010-04,1.101,
2010-07,1.106,
2010-10,1.117,
2011-01,1.157,
2011-04,1.195,
2011-07,1.209,
2011-10,1.185,
2012-01,1.186,
2012-04,1.155,
2012-07,1.080,
2012-10,1.024,
2013-01,0.941,
2013-04,0.886,
2013-07,0.830,
2013-10,0.736,
2014-01,0.678,
2014-04,0.646,
2014-07,0.616,
