"",BBK01.TVD442,BBK01.TVD442_FLAGS
"",Deposits of non-banks in the euro area / in other member states / At agreed notice / of which up to 3 months / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:21:19,
1980-01,0,
1980-02,11,
1980-03,25,
1980-04,8,
1980-05,-7,
1980-06,16,
1980-07,-16,
1980-08,19,
1980-09,10,
1980-10,12,
1980-11,11,
1980-12,27,
1981-01,-25,
1981-02,5,
1981-03,67,
1981-04,-34,
1981-05,16,
1981-06,0,
1981-07,25,
1981-08,-27,
1981-09,-7,
1981-10,-16,
1981-11,9,
1981-12,52,
1982-01,-39,
1982-02,2,
1982-03,17,
1982-04,-33,
1982-05,2,
1982-06,25,
1982-07,7,
1982-08,10,
1982-09,12,
1982-10,-8,
1982-11,-9,
1982-12,36,
1983-01,-50,
1983-02,-1,
1983-03,10,
1983-04,-16,
1983-05,15,
1983-06,38,
1983-07,-10,
1983-08,-5,
1983-09,1,
1983-10,-8,
1983-11,3,
1983-12,27,
1984-01,-52,
1984-02,-14,
1984-03,13,
1984-04,27,
1984-05,12,
1984-06,11,
1984-07,25,
1984-08,-1,
1984-09,60,
1984-10,-2,
1984-11,6,
1984-12,84,
1985-01,-40,
1985-02,35,
1985-03,-51,
1985-04,-1,
1985-05,-25,
1985-06,36,
1985-07,-46,
1985-08,15,
1985-09,2,
1985-10,13,
1985-11,32,
1985-12,51,
1986-01,-44,
1986-02,-17,
1986-03,48,
1986-04,-15,
1986-05,6,
1986-06,8,
1986-07,-31,
1986-08,7,
1986-09,101,
1986-10,12,
1986-11,-26,
1986-12,21,
1987-01,-9,
1987-02,-21,
1987-03,15,
1987-04,27,
1987-05,-2,
1987-06,37,
1987-07,-3,
1987-08,3,
1987-09,37,
1987-10,53,
1987-11,-52,
1987-12,-10,
1988-01,10,
1988-02,2,
1988-03,28,
1988-04,-21,
1988-05,32,
1988-06,45,
1988-07,65,
1988-08,29,
1988-09,-5,
1988-10,-3,
1988-11,-5,
1988-12,-4,
1989-01,36,
1989-02,21,
1989-03,43,
1989-04,56,
1989-05,85,
1989-06,3,
1989-07,-51,
1989-08,24,
1989-09,17,
1989-10,19,
1989-11,2,
1989-12,-2,
1990-01,40,
1990-02,39,
1990-03,8,
1990-04,20,
1990-05,6,
1990-06,217,
1990-07,43,
1990-08,11,
1990-09,70,
1990-10,-43,
1990-11,-14,
1990-12,27,
1991-01,9,
1991-02,32,
1991-03,179,
1991-04,-37,
1991-05,-53,
1991-06,74,
1991-07,-44,
1991-08,35,
1991-09,-65,
1991-10,45,
1991-11,-9,
1991-12,-49,
1992-01,63,
1992-02,56,
1992-03,75,
1992-04,39,
1992-05,-1,
1992-06,-7,
1992-07,-37,
1992-08,25,
1992-09,203,
1992-10,15,
1992-11,61,
1992-12,26,
1993-01,-37,
1993-02,114,
1993-03,16,
1993-04,-24,
1993-05,37,
1993-06,110,
1993-07,47,
1993-08,11,
1993-09,-38,
1993-10,89,
1993-11,62,
1993-12,220,
1994-01,28,
1994-02,18,
1994-03,12,
1994-04,4,
1994-05,9,
1994-06,4,
1994-07,17,
1994-08,-18,
1994-09,22,
1994-10,5,
1994-11,43,
1994-12,84,
1995-01,-19,
1995-02,23,
1995-03,20,
1995-04,36,
1995-05,-1,
1995-06,-62,
1995-07,148,
1995-08,45,
1995-09,34,
1995-10,42,
1995-11,49,
1995-12,214,
1996-01,70,
1996-02,61,
1996-03,25,
1996-04,31,
1996-05,-7,
1996-06,26,
1996-07,-3,
1996-08,12,
1996-09,48,
1996-10,15,
1996-11,33,
1996-12,154,
1997-01,9,
1997-02,7,
1997-03,-5,
1997-04,-28,
1997-05,-21,
1997-06,-16,
1997-07,24,
1997-08,6,
1997-09,-7,
1997-10,-13,
1997-11,17,
1997-12,132,
1998-01,6,
1998-02,27,
1998-03,-21,
1998-04,-37,
1998-05,-21,
1998-06,15,
1998-07,-21,
1998-08,-5,
1998-09,-19,
1998-10,54,
1998-11,26,
1998-12,127,
1999-01,-1493,
1999-02,37,
1999-03,-9,
1999-04,13,
1999-05,7,
1999-06,-18,
1999-07,-21,
1999-08,35,
1999-09,9,
1999-10,6,
1999-11,30,
1999-12,116,
2000-01,-31,
2000-02,-46,
2000-03,-41,
2000-04,-33,
2000-05,-55,
2000-06,-54,
2000-07,-44,
2000-08,-27,
2000-09,-129,
2000-10,54,
2000-11,-22,
2000-12,80,
2001-01,-14,
2001-02,3,
2001-03,2,
2001-04,16,
2001-05,1,
2001-06,23,
2001-07,8,
2001-08,40,
2001-09,26,
2001-10,41,
2001-11,41,
2001-12,166,
2002-01,-37,
2002-02,-42,
2002-03,-11,
2002-04,-279,
2002-05,-31,
2002-06,5,
2002-07,-36,
2002-08,-8,
2002-09,-13,
2002-10,-9,
2002-11,-6,
2002-12,194,
2003-01,7,
2003-02,3,
2003-03,-16,
2003-04,-12,
2003-05,-38,
2003-06,-27,
2003-07,-60,
2003-08,-36,
2003-09,-56,
2003-10,-59,
2003-11,-66,
2003-12,-56,
2004-01,-20,
2004-02,-22,
2004-03,-24,
2004-04,-13,
2004-05,-31,
2004-06,-28,
2004-07,-17,
2004-08,-15,
2004-09,-30,
2004-10,-61,
2004-11,-66,
2004-12,-103,
2005-01,-22,
2005-02,-32,
2005-03,-40,
2005-04,-72,
2005-05,-92,
2005-06,-365,
2005-07,-38,
2005-08,-26,
2005-09,-8,
2005-10,-18,
2005-11,-13,
2005-12,20,
2006-01,-16,
2006-02,-11,
2006-03,-10,
2006-04,-11,
2006-05,-17,
2006-06,-11,
2006-07,-22,
2006-08,-19,
2006-09,-23,
2006-10,-15,
2006-11,-27,
2006-12,31,
2007-01,-21,
2007-02,-14,
2007-03,2,
2007-04,-15,
2007-05,-7,
2007-06,-22,
2007-07,-34,
2007-08,-14,
2007-09,-10,
2007-10,-16,
2007-11,-5,
2007-12,48,
2008-01,4,
2008-02,-10,
2008-03,2,
2008-04,-1,
2008-05,-9,
2008-06,-4,
2008-07,-12,
2008-08,-23,
2008-09,-2,
2008-10,11,
2008-11,5,
2008-12,38,
2009-01,35,
2009-02,32,
2009-03,7,
2009-04,6,
2009-05,10,
2009-06,7,
2009-07,21,
2009-08,20,
2009-09,6,
2009-10,0,
2009-11,5,
2009-12,40,
2010-01,15,
2010-02,12,
2010-03,30,
2010-04,19,
2010-05,28,
2010-06,39,
2010-07,19,
2010-08,6,
2010-09,-2,
2010-10,8,
2010-11,31,
2010-12,55,
2011-01,7,
2011-02,1,
2011-03,24,
2011-04,41,
2011-05,18,
2011-06,2,
2011-07,6,
2011-08,-14,
2011-09,17,
2011-10,44,
2011-11,93,
2011-12,68,
2012-01,49,
2012-02,38,
2012-03,12,
2012-04,-14,
2012-05,82,
2012-06,132,
2012-07,29,
2012-08,20,
2012-09,4,
2012-10,4,
2012-11,-11,
2012-12,-54,
2013-01,-37,
2013-02,-3,
2013-03,-10,
2013-04,10,
2013-05,0,
2013-06,-4,
2013-07,-11,
2013-08,-6,
2013-09,-1,
2013-10,-16,
2013-11,-5,
2013-12,4,
2014-01,-8,
2014-02,0,
2014-03,-5,
2014-04,-16,
2014-05,-15,
2014-06,-8,
2014-07,-20,
2014-08,-3,
2014-09,-7,
2014-10,-12,
2014-11,-8,
2014-12,18,
2015-01,45,
