"",BBK01.OEAN04I,BBK01.OEAN04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:51,
2002-01,10.258,
2002-04,9.944,
2002-07,9.908,
2002-10,10.103,
2003-01,10.283,
2003-04,10.206,
2003-07,10.207,
2003-10,10.207,
2004-01,10.114,
2004-04,9.938,
2004-07,9.887,
2004-10,9.992,
2005-01,12.273,
2005-04,12.194,
2005-07,12.068,
2005-10,12.156,
2006-01,12.067,
2006-04,11.977,
2006-07,11.819,
2006-10,11.911,
2007-01,12.197,
2007-04,12.235,
2007-07,12.435,
2007-10,12.556,
2008-01,12.530,
2008-04,12.634,
2008-07,12.574,
2008-10,13.570,
2009-01,13.406,
2009-04,12.929,
2009-07,12.563,
2009-10,11.902,
2010-01,11.326,
2010-04,10.982,
2010-07,10.353,
2010-10,10.343,
2011-01,9.971,
2011-04,9.767,
2011-07,9.613,
2011-10,9.576,
2012-01,9.692,
2012-04,9.525,
2012-07,9.418,
2012-10,9.440,
2013-01,9.289,
2013-04,9.169,
2013-07,9.010,
2013-10,8.922,
2014-01,8.713,
2014-04,8.589,
2014-07,8.610,
