"",BBK01.OEHO01P,BBK01.OEHO01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:50,
2002-01,4.942,
2002-04,4.911,
2002-07,4.855,
2002-10,4.830,
2003-01,4.995,
2003-04,5.030,
2003-07,5.036,
2003-10,5.044,
2004-01,5.167,
2004-04,5.176,
2004-07,5.148,
2004-10,5.127,
2005-01,5.238,
2005-04,5.237,
2005-07,5.208,
2005-10,5.175,
2006-01,5.289,
2006-04,5.287,
2006-07,5.246,
2006-10,5.196,
2007-01,5.241,
2007-04,5.168,
2007-07,5.086,
2007-10,5.017,
2008-01,5.065,
2008-04,4.980,
2008-07,4.935,
2008-10,4.866,
2009-01,4.972,
2009-04,4.983,
2009-07,5.021,
2009-10,5.041,
2010-01,5.169,
2010-04,5.205,
2010-07,5.221,
2010-10,5.185,
2011-01,5.252,
2011-04,5.267,
2011-07,5.259,
2011-10,5.214,
2012-01,5.225,
2012-04,5.170,
2012-07,5.100,
2012-10,5.066,
2013-01,5.148,
2013-04,5.098,
2013-07,5.006,
2013-10,4.928,
2014-01,4.918,
2014-04,4.871,
2014-07,4.820,
