"",BBK01.OEBB04Q,BBK01.OEBB04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:15,
2002-01,9.539,
2002-04,9.600,
2002-07,9.622,
2002-10,9.653,
2003-01,9.624,
2003-04,9.616,
2003-07,9.622,
2003-10,9.673,
2004-01,9.578,
2004-04,9.627,
2004-07,9.525,
2004-10,9.386,
2005-01,10.476,
2005-04,10.337,
2005-07,10.320,
2005-10,10.259,
2006-01,10.256,
2006-04,10.236,
2006-07,10.235,
2006-10,10.449,
2007-01,10.312,
2007-04,10.359,
2007-07,10.276,
2007-10,10.222,
2008-01,10.088,
2008-04,10.138,
2008-07,9.986,
2008-10,9.895,
2009-01,9.830,
2009-04,11.193,
2009-07,11.105,
2009-10,11.152,
2010-01,10.996,
2010-04,10.912,
2010-07,11.135,
2010-10,11.112,
2011-01,10.800,
2011-04,10.817,
2011-07,10.760,
2011-10,10.773,
2012-01,10.723,
2012-04,10.740,
2012-07,10.901,
2012-10,10.897,
2013-01,10.939,
2013-04,10.943,
2013-07,11.011,
2013-10,11.117,
2014-01,11.215,
2014-04,11.297,
2014-07,11.420,
