"",BBFB1.M.N.DE.W1.S13.S1.T.D.D4P.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D4P.O.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Other Investment income / General government (including Bundesbank) / Interest on Debt securities / Long-term Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:53,
1991-01,280.106,
1991-02,282.541,
1991-03,280.647,
1991-04,280.331,
1991-05,277.665,
1991-06,275.508,
1991-07,274.833,
1991-08,271.868,
1991-09,267.244,
1991-10,264.026,
1991-11,258.531,
1991-12,252.523,
1992-01,243.412,
1992-02,238.001,
1992-03,233.066,
1992-04,226.963,
1992-05,222.228,
1992-06,217.074,
1992-07,214.666,
1992-08,211.973,
1992-09,208.903,
1992-10,205.655,
1992-11,207.192,
1992-12,207.533,
1993-01,208.017,
1993-02,209.715,
1993-03,208.435,
1993-04,208.299,
1993-05,202.583,
1993-06,198.911,
1993-07,199.379,
1993-08,200.228,
1993-09,196.909,
1993-10,193.467,
1993-11,190.086,
1993-12,184.517,
1994-01,187.091,
1994-02,185.009,
1994-03,184.136,
1994-04,180.833,
1994-05,179.943,
1994-06,177.596,
1994-07,172.131,
1994-08,168.959,
1994-09,166.791,
1994-10,164.205,
1994-11,158.285,
1994-12,153.047,
1995-01,148.324,
1995-02,143.949,
1995-03,140.398,
1995-04,136.857,
1995-05,133.957,
1995-06,133.246,
1995-07,126.127,
1995-08,120.979,
1995-09,114.813,
1995-10,110.930,
1995-11,110.264,
1995-12,110.321,
1996-01,104.725,
1996-02,104.578,
1996-03,101.172,
1996-04,103.546,
1996-05,99.921,
1996-06,95.380,
1996-07,94.645,
1996-08,95.151,
1996-09,96.231,
1996-10,93.754,
1996-11,90.198,
1996-12,90.180,
1997-01,92.333,
1997-02,87.859,
1997-03,85.310,
1997-04,83.467,
1997-05,84.787,
1997-06,85.387,
1997-07,84.942,
1997-08,84.024,
1997-09,81.422,
1997-10,82.708,
1997-11,80.275,
1997-12,79.198,
1998-01,79.418,
1998-02,83.939,
1998-03,83.903,
1998-04,82.812,
1998-05,80.516,
1998-06,80.514,
1998-07,83.076,
1998-08,79.397,
1998-09,82.807,
1998-10,84.873,
1998-11,88.871,
1998-12,90.286,
1999-01,231.524,
1999-02,226.470,
1999-03,229.493,
1999-04,228.843,
1999-05,232.609,
1999-06,234.934,
1999-07,236.698,
1999-08,239.211,
1999-09,238.020,
1999-10,235.680,
1999-11,234.808,
1999-12,235.351,
2000-01,308.303,
2000-02,307.430,
2000-03,308.690,
2000-04,308.540,
2000-05,315.884,
2000-06,314.842,
2000-07,313.197,
2000-08,312.266,
2000-09,314.117,
2000-10,313.295,
2000-11,314.028,
2000-12,315.765,
2001-01,99.803,
2001-02,101.172,
2001-03,99.132,
2001-04,100.165,
2001-05,91.008,
2001-06,91.610,
2001-07,90.982,
2001-08,90.376,
2001-09,87.905,
2001-10,89.122,
2001-11,84.887,
2001-12,81.277,
2002-01,79.560,
2002-02,77.694,
2002-03,74.370,
2002-04,74.754,
2002-05,71.474,
2002-06,69.670,
2002-07,70.721,
2002-08,70.267,
2002-09,71.230,
2002-10,70.930,
2002-11,73.461,
2002-12,78.952,
2003-01,81.401,
2003-02,87.953,
2003-03,96.957,
2003-04,103.785,
2003-05,107.169,
2003-06,107.296,
2003-07,106.392,
2003-08,105.720,
2003-09,104.117,
2003-10,100.985,
2003-11,99.126,
2003-12,93.418,
2004-01,87.068,
2004-02,76.053,
2004-03,67.778,
2004-04,63.373,
2004-05,59.629,
2004-06,59.800,
2004-07,57.413,
2004-08,59.585,
2004-09,64.950,
2004-10,67.735,
2004-11,71.948,
2004-12,81.562,
2005-01,82.922,
2005-02,77.314,
2005-03,80.108,
2005-04,85.513,
2005-05,103.421,
2005-06,110.539,
2005-07,119.998,
2005-08,130.907,
2005-09,134.331,
2005-10,140.009,
2005-11,136.336,
2005-12,140.488,
2006-01,104.605,
2006-02,102.876,
2006-03,104.332,
2006-04,103.726,
2006-05,100.311,
2006-06,102.655,
2006-07,105.872,
2006-08,108.781,
2006-09,115.452,
