"",BBFN1.M.DE.N.1.A.W00200.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W00200.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1998-02,14.172,
1998-03,14.632,
1998-04,15.044,
1998-05,14.379,
1998-06,14.549,
1998-07,14.695,
1998-08,15.049,
1998-09,15.124,
1998-10,15.528,
1998-11,16.205,
1998-12,17.245,
1999-01,17.609,
1999-02,17.891,
1999-03,17.947,
1999-04,18.377,
1999-05,18.649,
1999-06,20.274,
1999-07,21.482,
1999-08,22.248,
1999-09,22.085,
1999-10,22.871,
1999-11,22.901,
1999-12,21.855,
2000-01,22.699,
2000-02,22.927,
2000-03,22.656,
2000-04,22.734,
2000-05,24.958,
2000-06,26.032,
2000-07,26.326,
2000-08,27.074,
2000-09,27.334,
2000-10,28.006,
2000-11,28.201,
2000-12,27.927,
2001-01,28.599,
2001-02,28.561,
2001-03,29.153,
2001-04,29.336,
2001-05,30.191,
2001-06,31.314,
2001-07,31.578,
2001-08,31.976,
2001-09,32.325,
2001-10,33.511,
2001-11,33.711,
2001-12,35.310,
2002-01,35.847,
2002-02,43.041,
2002-03,43.418,
2002-04,43.879,
2002-05,44.513,
2002-06,44.042,
2002-07,45.700,
2002-08,46.479,
2002-09,45.526,
2002-10,46.403,
2002-11,47.473,
2002-12,42.117,
2003-01,46.932,
2003-02,47.207,
2003-03,47.503,
2003-04,46.777,
2003-05,46.279,
2003-06,46.408,
2003-07,48.252,
2003-08,47.816,
2003-09,45.837,
2003-10,47.654,
2003-11,47.404,
2003-12,46.545,
2004-01,47.667,
2004-02,46.734,
2004-03,47.645,
2004-04,48.373,
2004-05,50.935,
2004-06,52.059,
2004-07,53.711,
2004-08,53.719,
2004-09,55.091,
2004-10,55.094,
2004-11,55.376,
2004-12,54.008,
2005-01,57.384,
2005-02,57.369,
2005-03,59.496,
2005-04,59.944,
2005-05,57.585,
2005-06,59.967,
2005-07,59.990,
2005-08,59.059,
2005-09,58.535,
2005-10,57.307,
2005-11,58.868,
2005-12,59.934,
2006-01,61.492,
2006-02,63.874,
2006-03,65.425,
2006-04,66.730,
2006-05,68.261,
2006-06,70.624,
2006-07,70.096,
2006-08,72.685,
2006-09,74.167,
2006-10,77.977,
2006-11,78.979,
2006-12,83.444,
2007-01,87.004,
2007-02,87.943,
2007-03,93.261,
2007-04,98.133,
2007-05,104.853,
2007-06,107.734,
2007-07,108.521,
2007-08,116.391,
2007-09,122.614,
2007-10,128.662,
2007-11,135.354,
2007-12,130.414,
2008-01,136.504,
2008-02,141.476,
2008-03,142.419,
2008-04,146.226,
2008-05,149.757,
2008-06,146.458,
2008-07,149.491,
2008-08,150.561,
2008-09,156.791,
2008-10,162.143,
2008-11,164.425,
2008-12,153.583,
2009-01,154.920,
2009-02,156.859,
2009-03,157.333,
2009-04,162.308,
2009-05,162.434,
2009-06,155.451,
2009-07,161.884,
2009-08,170.555,
2009-09,173.084,
2009-10,181.597,
2009-11,187.802,
2009-12,186.503,
2010-01,191.810,
2010-02,198.638,
2010-03,199.575,
2010-04,208.029,
2010-05,211.021,
2010-06,211.155,
2010-07,213.714,
2010-08,221.050,
2010-09,222.654,
2010-10,227.373,
2010-11,233.154,
2010-12,231.725,
2011-01,238.622,
2011-02,233.191,
2011-03,232.511,
2011-04,233.198,
2011-05,239.963,
2011-06,231.283,
2011-07,234.840,
2011-08,234.287,
2011-09,229.771,
2011-10,216.567,
2011-11,215.030,
2011-12,209.371,
2012-01,211.452,
2012-02,213.425,
2012-03,213.444,
2012-04,215.008,
2012-05,216.212,
2012-06,212.548,
2012-07,216.608,
2012-08,219.026,
2012-09,220.643,
2012-10,220.396,
2012-11,225.461,
2012-12,226.719,
2013-01,230.133,
2013-02,231.910,
2013-03,234.000,
2013-04,244.302,
2013-05,248.502,
2013-06,248.254,
2013-07,247.631,
2013-08,251.374,
2013-09,256.716,
2013-10,251.651,
2013-11,256.728,
2013-12,258.327,
2014-01,256.802,
2014-02,258.464,
2014-03,260.790,
2014-04,260.937,
2014-05,267.606,
2014-06,266.763,
2014-07,268.323,
2014-08,270.706,
2014-09,272.006,
2014-10,271.458,
2014-11,272.317,
2014-12,273.842,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
