"",BBK01.OEAO02L,BBK01.OEAO02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:45,
2002-01,2.326,
2002-04,1.716,
2002-07,3.259,
2002-10,2.552,
2003-01,3.449,
2003-04,2.723,
2003-07,0.462,
2003-10,2.748,
2004-01,2.611,
2004-04,1.997,
2004-07,-1.041,
2004-10,1.919,
2005-01,4.685,
2005-04,4.302,
2005-07,1.402,
2005-10,1.827,
2006-01,1.945,
2006-04,1.694,
2006-07,1.907,
2006-10,1.911,
2007-01,2.202,
2007-04,1.480,
2007-07,1.703,
2007-10,1.781,
2008-01,1.783,
2008-04,1.361,
2008-07,1.454,
2008-10,0.952,
2009-01,3.970,
2009-04,4.189,
2009-07,5.859,
2009-10,6.303,
2010-01,10.617,
2010-04,6.821,
2010-07,5.372,
2010-10,7.273,
2011-01,6.102,
2011-04,4.030,
2011-07,3.361,
2011-10,3.334,
2012-01,4.234,
2012-04,3.088,
2012-07,3.243,
2012-10,3.323,
2013-01,3.680,
2013-04,2.844,
2013-07,2.762,
2013-10,3.075,
2014-01,2.970,
2014-04,2.615,
2014-07,2.987,
