"",BBK01.OEAH96K,BBK01.OEAH96K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:03,
2002-01,0.227,
2002-04,0.189,
2002-07,0.187,
2002-10,0.204,
2003-01,0.214,
2003-04,0.216,
2003-07,0.215,
2003-10,0.208,
2004-01,0.202,
2004-04,0.206,
2004-07,0.200,
2004-10,0.203,
2005-01,0.362,
2005-04,0.361,
2005-07,0.354,
2005-10,0.364,
2006-01,0.370,
2006-04,0.366,
2006-07,0.370,
2006-10,0.369,
2007-01,0.376,
2007-04,0.365,
2007-07,0.364,
2007-10,0.373,
2008-01,0.376,
2008-04,0.386,
2008-07,0.386,
2008-10,0.404,
2009-01,0.420,
2009-04,0.428,
2009-07,0.447,
2009-10,0.462,
2010-01,0.474,
2010-04,0.470,
2010-07,0.470,
2010-10,0.485,
2011-01,0.477,
2011-04,0.474,
2011-07,0.461,
2011-10,0.470,
2012-01,0.478,
2012-04,0.477,
2012-07,0.494,
2012-10,0.511,
2013-01,0.492,
2013-04,0.484,
2013-07,0.473,
2013-10,0.483,
2014-01,0.464,
2014-04,0.452,
2014-07,0.450,
