"",BBK01.OELB08O,BBK01.OELB08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:30,
2002-01,18.229,
2002-04,18.368,
2002-07,18.535,
2002-10,18.617,
2003-01,18.668,
2003-04,18.834,
2003-07,19.061,
2003-10,19.337,
2004-01,19.380,
2004-04,19.556,
2004-07,19.780,
2004-10,19.990,
2005-01,19.964,
2005-04,20.095,
2005-07,20.272,
2005-10,20.388,
2006-01,20.468,
2006-04,20.648,
2006-07,20.821,
2006-10,20.867,
2007-01,20.916,
2007-04,21.015,
2007-07,21.172,
2007-10,20.760,
2008-01,20.769,
2008-04,20.990,
2008-07,21.189,
2008-10,21.300,
2009-01,21.288,
2009-04,21.443,
2009-07,21.650,
2009-10,21.797,
2010-01,21.763,
2010-04,21.989,
2010-07,22.227,
2010-10,22.427,
2011-01,22.571,
2011-04,22.838,
2011-07,23.060,
2011-10,23.325,
2012-01,23.464,
2012-04,24.423,
2012-07,24.767,
2012-10,25.043,
2013-01,25.176,
2013-04,25.484,
2013-07,25.989,
2013-10,26.253,
2014-01,26.768,
2014-04,26.972,
2014-07,27.292,
