"",BBK01.PQ0924,BBK01.PQ0924_FLAGS
"",Lending to craft trades / Long-term / Commercial banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:25:03,
1968-10,0.045,
1969-01,0.047,
1969-04,0.050,
1969-07,0.061,
1969-10,0.068,
1970-01,0.079,
1970-04,0.089,
1970-07,0.083,
1970-10,0.087,
1971-01,0.089,
1971-04,0.094,
1971-07,0.094,
1971-10,0.104,
1972-01,0.111,
1972-04,0.110,
1972-07,0.146,
1972-10,0.162,
1973-01,0.179,
1973-04,0.191,
1973-07,0.197,
1973-10,0.200,
1974-01,0.180,
1974-04,0.178,
1974-07,0.178,
1974-10,0.186,
1975-01,0.191,
1975-04,0.203,
1975-07,0.223,
1975-10,0.243,
1976-01,0.260,
1976-04,0.287,
1976-07,0.292,
1976-10,0.311,
1977-01,0.301,
1977-04,0.325,
1977-07,0.342,
1977-10,0.392,
1978-01,0.433,
1978-04,0.419,
1978-07,0.419,
1978-10,0.495,
1979-01,0.479,
1979-04,0.524,
1979-07,0.569,
1979-10,0.572,
1980-01,0.592,
1980-04,0.610,
1980-07,0.659,
1980-10,1.120,
1981-01,1.182,
1981-04,1.184,
1981-07,1.178,
1981-10,1.191,
1982-01,1.175,
1982-04,1.168,
1982-07,1.184,
1982-10,1.217,
1983-01,1.229,
1983-04,1.275,
1983-07,1.305,
1983-10,1.300,
1984-01,1.319,
1984-04,1.339,
1984-07,1.374,
1984-10,1.401,
1985-01,1.420,
1985-04,1.424,
1985-07,1.443,
1985-10,1.489,
1986-01,1.501,
1986-04,1.532,
1986-07,1.634,
1986-10,1.738,
1987-01,1.797,
1987-04,1.893,
1987-07,2.009,
1987-10,2.090,
1988-01,2.199,
1988-04,2.260,
1988-07,2.328,
1988-10,2.383,
1989-01,2.481,
1989-04,2.547,
1989-07,2.574,
1989-10,2.732,
1990-01,2.749,
1990-04,2.790,
1990-07,2.816,
1990-10,2.842,
1991-01,2.878,
1991-04,2.942,
1991-07,3.017,
1991-10,3.109,
1992-01,3.183,
1992-04,3.274,
1992-07,3.366,
1992-10,3.383,
1993-01,3.410,
1993-04,3.482,
1993-07,3.585,
1993-10,3.746,
1994-01,3.858,
1994-04,3.919,
1994-07,4.027,
1994-10,4.039,
1995-01,3.989,
1995-04,4.051,
1995-07,4.089,
1995-10,4.120,
1996-01,4.157,
1996-04,4.167,
1996-07,4.241,
1996-10,4.368,
1997-01,4.521,
1997-04,4.668,
1997-07,4.733,
1997-10,4.772,
1998-01,4.677,
1998-04,4.662,
1998-07,4.672,
1998-10,4.760,
1999-01,4.229,
1999-04,4.165,
1999-07,3.937,
1999-10,4.166,
2000-01,4.189,
2000-04,4.239,
2000-07,4.185,
2000-10,4.156,
2001-01,4.213,
2001-04,4.409,
2001-07,4.547,
2001-10,4.831,
2002-01,4.932,
2002-04,5.043,
2002-07,5.111,
2002-10,5.114,
2003-01,5.039,
2003-04,4.913,
2003-07,4.703,
2003-10,4.667,
2004-01,4.611,
2004-04,4.580,
2004-07,4.455,
2004-10,4.554,
2005-01,4.561,
2005-04,4.501,
2005-07,4.411,
2005-10,4.431,
2006-01,4.344,
2006-04,4.292,
2006-07,4.270,
2006-10,4.287,
2007-01,4.247,
2007-04,4.153,
2007-07,4.008,
2007-10,3.943,
2008-01,4.021,
2008-04,3.909,
2008-07,3.867,
2008-10,3.849,
2009-01,3.734,
2009-04,1.618,
2009-07,1.672,
2009-10,1.774,
2010-01,1.750,
2010-04,1.717,
2010-07,1.603,
2010-10,1.563,
2011-01,1.522,
2011-04,1.520,
2011-07,1.494,
2011-10,1.456,
2012-01,1.427,
2012-04,1.407,
2012-07,1.375,
2012-10,1.327,
2013-01,1.243,
2013-04,1.248,
2013-07,1.258,
2013-10,1.256,
2014-01,1.227,
2014-04,1.217,
2014-07,1.223,
2014-10,1.225,
