"",BBK01.OEHB24N,BBK01.OEHB24N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:16,
2002-01,4.199,
2002-04,4.161,
2002-07,4.120,
2002-10,4.151,
2003-01,4.287,
2003-04,4.378,
2003-07,4.368,
2003-10,4.384,
2004-01,4.770,
2004-04,4.779,
2004-07,4.819,
2004-10,4.903,
2005-01,5.028,
2005-04,5.113,
2005-07,5.082,
2005-10,5.130,
2006-01,5.144,
2006-04,5.226,
2006-07,5.266,
2006-10,5.175,
2007-01,5.190,
2007-04,5.480,
2007-07,5.490,
2007-10,5.438,
2008-01,5.083,
2008-04,4.949,
2008-07,4.883,
2008-10,4.959,
2009-01,5.080,
2009-04,5.097,
2009-07,5.479,
2009-10,5.674,
2010-01,5.827,
2010-04,6.213,
2010-07,6.296,
2010-10,6.370,
2011-01,6.430,
2011-04,6.421,
2011-07,6.599,
2011-10,6.703,
2012-01,6.714,
2012-04,6.651,
2012-07,6.802,
2012-10,6.987,
2013-01,7.048,
2013-04,7.150,
2013-07,7.221,
2013-10,7.664,
2014-01,7.739,
2014-04,7.715,
2014-07,7.833,
