"",BBK01.OEAD03H,BBK01.OEAD03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:43,
2002-01,1.431,
2002-04,1.402,
2002-07,1.402,
2002-10,1.322,
2003-01,1.341,
2003-04,1.302,
2003-07,1.331,
2003-10,1.306,
2004-01,1.292,
2004-04,1.290,
2004-07,1.270,
2004-10,1.270,
2005-01,1.235,
2005-04,1.203,
2005-07,1.237,
2005-10,1.171,
2006-01,1.171,
2006-04,1.129,
2006-07,1.167,
2006-10,1.192,
2007-01,1.186,
2007-04,1.241,
2007-07,1.247,
2007-10,1.223,
2008-01,1.226,
2008-04,1.171,
2008-07,1.203,
2008-10,1.262,
2009-01,0.992,
2009-04,0.992,
2009-07,0.950,
2009-10,0.887,
2010-01,0.846,
2010-04,0.874,
2010-07,0.867,
2010-10,0.853,
2011-01,0.860,
2011-04,0.834,
2011-07,0.864,
2011-10,0.868,
2012-01,0.911,
2012-04,0.906,
2012-07,0.837,
2012-10,0.810,
2013-01,0.838,
2013-04,0.832,
2013-07,0.795,
2013-10,0.781,
2014-01,0.758,
2014-04,0.780,
2014-07,0.782,
