"",BBK01.TVS302J,BBK01.TVS302J_FLAGS
"",Money stock M2/ Seasonally adjusted/ Annual percentage change/ EWU,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:38:06,
1981-01,9.8,
1981-02,10.1,
1981-03,9.7,
1981-04,10.4,
1981-05,10.4,
1981-06,10.2,
1981-07,9.8,
1981-08,9.6,
1981-09,9.9,
1981-10,9.6,
1981-11,9.0,
1981-12,9.5,
1982-01,9.5,
1982-02,9.4,
1982-03,10.0,
1982-04,9.9,
1982-05,9.9,
1982-06,10.2,
1982-07,10.5,
1982-08,11.2,
1982-09,10.9,
1982-10,10.8,
1982-11,10.9,
1982-12,10.8,
1983-01,10.7,
1983-02,10.6,
1983-03,10.1,
1983-04,9.6,
1983-05,9.7,
1983-06,9.4,
1983-07,9.4,
1983-08,9.2,
1983-09,8.7,
1983-10,9.0,
1983-11,8.9,
1983-12,8.8,
1984-01,8.2,
1984-02,7.9,
1984-03,7.8,
1984-04,7.9,
1984-05,8.1,
1984-06,8.0,
1984-07,7.9,
1984-08,7.9,
1984-09,8.5,
1984-10,8.2,
1984-11,8.0,
1984-12,8.2,
1985-01,8.5,
1985-02,9.1,
1985-03,9.0,
1985-04,9.0,
1985-05,8.3,
1985-06,8.1,
1985-07,8.0,
1985-08,7.5,
1985-09,7.1,
1985-10,7.3,
1985-11,6.8,
1985-12,6.5,
1986-01,6.2,
1986-02,5.7,
1986-03,6.1,
1986-04,5.4,
1986-05,5.7,
1986-06,5.7,
1986-07,5.9,
1986-08,6.1,
1986-09,6.4,
1986-10,6.6,
1986-11,7.0,
1986-12,6.7,
1987-01,7.1,
1987-02,7.1,
1987-03,6.8,
1987-04,7.8,
1987-05,7.5,
1987-06,7.8,
1987-07,7.5,
1987-08,7.3,
1987-09,6.9,
1987-10,6.8,
1987-11,6.8,
1987-12,6.7,
1988-01,6.2,
1988-02,6.2,
1988-03,6.2,
1988-04,6.1,
1988-05,6.5,
1988-06,6.3,
1988-07,6.6,
1988-08,6.9,
1988-09,6.8,
1988-10,6.9,
1988-11,7.0,
1988-12,7.0,
1989-01,7.3,
1989-02,7.4,
1989-03,7.7,
1989-04,7.1,
1989-05,7.2,
1989-06,7.7,
1989-07,7.8,
1989-08,7.5,
1989-09,7.7,
1989-10,7.3,
1989-11,7.3,
1989-12,7.7,
1990-01,8.0,
1990-02,7.8,
1990-03,6.8,
1990-04,7.0,
1990-05,6.4,
1990-06,6.2,
1990-07,5.8,
1990-08,5.9,
1990-09,6.1,
1990-10,6.1,
1990-11,6.0,
1990-12,5.8,
1991-01,5.3,
1991-02,5.7,
1991-03,5.6,
1991-04,5.9,
1991-05,6.1,
1991-06,5.8,
1991-07,5.8,
1991-08,5.8,
1991-09,5.3,
1991-10,5.5,
1991-11,5.7,
1991-12,5.7,
1992-01,5.3,
1992-02,5.0,
1992-03,5.7,
1992-04,5.8,
1992-05,5.7,
1992-06,5.5,
1992-07,5.3,
1992-08,5.2,
1992-09,6.1,
1992-10,5.6,
1992-11,5.8,
1992-12,4.9,
1993-01,5.2,
1993-02,5.4,
1993-03,5.8,
1993-04,5.4,
1993-05,5.7,
1993-06,6.0,
1993-07,6.1,
1993-08,6.2,
1993-09,5.4,
1993-10,6.1,
1993-11,6.2,
1993-12,7.4,
1994-01,7.8,
1994-02,7.8,
1994-03,7.7,
1994-04,7.4,
1994-05,6.7,
1994-06,6.7,
1994-07,6.5,
1994-08,6.0,
1994-09,5.7,
1994-10,5.2,
1994-11,4.2,
1994-12,3.1,
1995-01,2.5,
1995-02,2.4,
1995-03,1.7,
1995-04,1.7,
1995-05,2.2,
1995-06,2.2,
1995-07,2.2,
1995-08,2.7,
1995-09,3.2,
1995-10,3.3,
1995-11,3.9,
1995-12,5.1,
1996-01,5.2,
1996-02,5.1,
1996-03,5.2,
1996-04,5.6,
1996-05,5.4,
1996-06,5.4,
1996-07,5.5,
1996-08,5.5,
1996-09,5.4,
1996-10,5.2,
1996-11,5.3,
1996-12,5.2,
1997-01,4.9,
