"",BBK01.CEFFN3,BBK01.CEFFN3_FLAGS
"",long-term loans                                              debtor: Rest of the world                  creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:35,
1999-01,170.2,
1999-04,181.9,
1999-07,187.1,
1999-10,200.9,
2000-01,209.4,
2000-04,214.7,
2000-07,229.5,
2000-10,233.3,
2001-01,246.7,
2001-04,258.3,
2001-07,252.8,
2001-10,264.9,
2002-01,270.5,
2002-04,259.0,
2002-07,260.7,
2002-10,258.3,
2003-01,259.3,
2003-04,254.1,
2003-07,253.6,
2003-10,247.1,
2004-01,247.5,
2004-04,250.4,
2004-07,245.0,
2004-10,237.3,
2005-01,245.0,
2005-04,255.9,
2005-07,260.9,
2005-10,267.2,
2006-01,269.9,
2006-04,269.4,
2006-07,272.6,
2006-10,271.5,
2007-01,273.2,
2007-04,284.6,
2007-07,294.3,
2007-10,301.6,
2008-01,327.0,
2008-04,358.4,
2008-07,393.0,
2008-10,404.9,
2009-01,405.1,
2009-04,396.1,
2009-07,392.2,
2009-10,387.7,
2010-01,395.0,
2010-04,408.4,
2010-07,390.3,
2010-10,366.2,
2011-01,354.0,
2011-04,349.2,
2011-07,362.1,
2011-10,389.3,
2012-01,382.3,
2012-04,387.1,
2012-07,381.1,
2012-10,372.2,
2013-01,369.2,
2013-04,358.2,
2013-07,347.1,
2013-10,338.0,
2014-01,321.2,
2014-04,321.2,
2014-07,334.4,
