"",BBSF2.M.1.T.00000.GEM01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.GEM01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Mixed securities funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:32,
2009-09,17879,
2009-10,16894,
2009-11,17522,
2009-12,17077,
2010-01,16884,
2010-02,16079,
2010-03,14763,
2010-04,13672,
2010-05,14578,
2010-06,15021,
2010-07,14744,
2010-08,14190,
2010-09,13845,
2010-10,12818,
2010-11,15400,
2010-12,14715,
2011-01,15412,
2011-02,17201,
2011-03,15625,
2011-04,15821,
2011-05,16253,
2011-06,15913,
2011-07,16275,
2011-08,19111,
2011-09,20561,
2011-10,20961,
2011-11,21821,
2011-12,20376,
2012-01,21156,
2012-02,19436,
2012-03,18294,
2012-04,17896,
2012-05,18201,
2012-06,18827,
2012-07,18851,
2012-08,17899,
2012-09,18891,
2012-10,18695,
2012-11,18019,
2012-12,17734,
2013-01,17364,
2013-02,18623,
2013-03,20341,
2013-04,20826,
2013-05,20348,
2013-06,20875,
2013-07,21519,
2013-08,20800,
2013-09,21054,
2013-10,22050,
2013-11,18802,
2013-12,20294,
2014-01,20024,
2014-02,21409,
2014-03,20931,
2014-04,20636,
2014-05,20297,
2014-06,17528,
2014-07,18116,
2014-08,21297,
2014-09,20409,
2014-10,20025,
2014-11,19196,
