"",BBK01.OECL04V,BBK01.OECL04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:43,
2002-01,0.207,
2002-04,0.202,
2002-07,0.195,
2002-10,0.173,
2003-01,0.150,
2003-04,0.139,
2003-07,0.119,
2003-10,0.106,
2004-01,0.103,
2004-04,0.115,
2004-07,0.105,
2004-10,0.099,
2005-01,0.212,
2005-04,0.215,
2005-07,0.200,
2005-10,0.200,
2006-01,0.213,
2006-04,0.228,
2006-07,0.256,
2006-10,0.267,
2007-01,0.303,
2007-04,0.329,
2007-07,0.399,
2007-10,0.529,
2008-01,0.642,
2008-04,0.715,
2008-07,0.907,
2008-10,0.936,
2009-01,0.837,
2009-04,0.771,
2009-07,0.577,
2009-10,0.440,
2010-01,0.323,
2010-04,0.286,
2010-07,0.238,
2010-10,0.192,
2011-01,0.198,
2011-04,0.203,
2011-07,0.164,
2011-10,0.268,
2012-01,0.287,
2012-04,0.282,
2012-07,0.261,
2012-10,0.150,
2013-01,0.095,
2013-04,0.093,
2013-07,0.074,
2013-10,0.069,
2014-01,0.079,
2014-04,0.083,
2014-07,0.078,
