"",BBK01.OEXM01L,BBK01.OEXM01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:30,
2002-01,4.330,
2002-04,4.610,
2002-07,5.458,
2002-10,4.562,
2003-01,5.838,
2003-04,6.493,
2003-07,4.792,
2003-10,3.753,
2004-01,6.240,
2004-04,6.444,
2004-07,5.089,
2004-10,4.087,
2005-01,5.340,
2005-04,7.229,
2005-07,8.451,
2005-10,6.020,
2006-01,8.433,
2006-04,7.682,
2006-07,7.812,
2006-10,7.379,
2007-01,9.122,
2007-04,13.006,
2007-07,10.484,
2007-10,12.376,
2008-01,12.343,
2008-04,15.189,
2008-07,14.521,
2008-10,10.287,
2009-01,11.205,
2009-04,16.199,
2009-07,9.250,
2009-10,9.076,
2010-01,9.038,
2010-04,9.546,
2010-07,8.933,
2010-10,9.354,
2011-01,10.655,
2011-04,11.598,
2011-07,10.748,
2011-10,12.324,
2012-01,11.705,
2012-04,13.706,
2012-07,12.297,
2012-10,12.348,
2013-01,9.606,
2013-04,9.768,
2013-07,9.215,
2013-10,9.634,
2014-01,9.991,
2014-04,9.909,
2014-07,11.065,
