"",BBK01.OEYB18O,BBK01.OEYB18O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:45,
2002-01,0.174,
2002-04,0.123,
2002-07,0.133,
2002-10,0.168,
2003-01,0.127,
2003-04,0.116,
2003-07,0.097,
2003-10,0.128,
2004-01,0.099,
2004-04,0.118,
2004-07,0.107,
2004-10,0.128,
2005-01,0.063,
2005-04,0.080,
2005-07,0.075,
2005-10,0.152,
2006-01,0.101,
2006-04,0.119,
2006-07,0.127,
2006-10,0.115,
2007-01,0.133,
2007-04,0.171,
2007-07,0.201,
2007-10,0.219,
2008-01,0.262,
2008-04,0.078,
2008-07,0.100,
2008-10,0.123,
2009-01,0.082,
2009-04,0.095,
2009-07,0.091,
2009-10,0.070,
2010-01,0.091,
2010-04,0.096,
2010-07,0.097,
2010-10,0.073,
2011-01,0.093,
2011-04,0.099,
2011-07,0.104,
2011-10,0.116,
2012-01,0.121,
2012-04,0.087,
2012-07,0.131,
2012-10,0.121,
2013-01,0.064,
2013-04,0.073,
2013-07,0.078,
2013-10,0.071,
2014-01,0.066,
2014-04,0.070,
2014-07,0.057,
