"",BBK01.OEAE07M,BBK01.OEAE07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:20,
2002-01,7.920,
2002-04,7.956,
2002-07,7.904,
2002-10,7.917,
2003-01,7.977,
2003-04,7.964,
2003-07,7.983,
2003-10,7.912,
2004-01,7.852,
2004-04,7.792,
2004-07,7.711,
2004-10,7.677,
2005-01,7.585,
2005-04,7.532,
2005-07,7.492,
2005-10,7.576,
2006-01,7.369,
2006-04,7.092,
2006-07,6.960,
2006-10,6.907,
2007-01,6.790,
2007-04,6.764,
2007-07,6.757,
2007-10,6.773,
2008-01,6.679,
2008-04,6.654,
2008-07,6.682,
2008-10,6.721,
2009-01,6.566,
2009-04,6.704,
2009-07,6.636,
2009-10,6.609,
2010-01,6.767,
2010-04,6.578,
2010-07,6.627,
2010-10,6.442,
2011-01,6.361,
2011-04,6.545,
2011-07,6.503,
2011-10,6.512,
2012-01,6.395,
2012-04,7.749,
2012-07,7.685,
2012-10,7.714,
2013-01,7.660,
2013-04,7.278,
2013-07,7.101,
2013-10,7.088,
2014-01,6.962,
2014-04,6.989,
2014-07,6.951,
