"",BBK01.OEYJ01L,BBK01.OEYJ01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:28,
2002-01,68.724,
2002-04,68.821,
2002-07,68.376,
2002-10,68.712,
2003-01,68.908,
2003-04,68.436,
2003-07,70.248,
2003-10,70.500,
2004-01,70.072,
2004-04,70.803,
2004-07,71.716,
2004-10,71.552,
2005-01,71.968,
2005-04,72.439,
2005-07,73.085,
2005-10,68.668,
2006-01,69.699,
2006-04,68.530,
2006-07,67.651,
2006-10,65.456,
2007-01,63.794,
2007-04,63.206,
2007-07,63.519,
2007-10,62.211,
2008-01,62.189,
2008-04,63.040,
2008-07,72.765,
2008-10,73.185,
2009-01,73.463,
2009-04,70.354,
2009-07,61.358,
2009-10,58.060,
2010-01,57.262,
2010-04,59.009,
2010-07,57.063,
2010-10,55.741,
2011-01,56.012,
2011-04,55.097,
2011-07,56.394,
2011-10,53.828,
2012-01,53.981,
2012-04,50.380,
2012-07,47.766,
2012-10,44.624,
2013-01,46.715,
2013-04,44.009,
2013-07,43.385,
2013-10,43.240,
2014-01,42.526,
2014-04,42.600,
2014-07,40.327,
