"",BBK01.OELB15M,BBK01.OELB15M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:11,
2002-01,0.920,
2002-04,0.896,
2002-07,0.866,
2002-10,0.847,
2003-01,0.824,
2003-04,0.816,
2003-07,0.805,
2003-10,0.782,
2004-01,0.764,
2004-04,0.755,
2004-07,0.740,
2004-10,0.717,
2005-01,0.696,
2005-04,0.684,
2005-07,0.668,
2005-10,0.636,
2006-01,0.615,
2006-04,0.603,
2006-07,0.594,
2006-10,0.572,
2007-01,0.564,
2007-04,0.552,
2007-07,0.566,
2007-10,0.553,
2008-01,0.547,
2008-04,0.548,
2008-07,0.552,
2008-10,0.543,
2009-01,0.547,
2009-04,0.559,
2009-07,0.597,
2009-10,0.625,
2010-01,0.616,
2010-04,0.619,
2010-07,0.614,
2010-10,0.596,
2011-01,0.594,
2011-04,0.594,
2011-07,0.621,
2011-10,0.642,
2012-01,0.652,
2012-04,0.748,
2012-07,0.757,
2012-10,0.753,
2013-01,0.762,
2013-04,0.772,
2013-07,0.791,
2013-10,0.789,
2014-01,0.797,
2014-04,0.804,
2014-07,0.824,
