"",BBK01.OECB24S,BBK01.OECB24S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:59,
2002-01,0.303,
2002-04,0.308,
2002-07,0.306,
2002-10,0.363,
2003-01,0.364,
2003-04,0.375,
2003-07,0.368,
2003-10,0.403,
2004-01,0.403,
2004-04,0.390,
2004-07,0.423,
2004-10,0.427,
2005-01,0.558,
2005-04,0.553,
2005-07,0.559,
2005-10,0.525,
2006-01,0.530,
2006-04,0.508,
2006-07,0.513,
2006-10,0.503,
2007-01,0.469,
2007-04,0.450,
2007-07,0.443,
2007-10,0.406,
2008-01,0.401,
2008-04,0.395,
2008-07,0.354,
2008-10,0.308,
2009-01,0.313,
2009-04,0.307,
2009-07,0.300,
2009-10,0.176,
2010-01,0.172,
2010-04,0.170,
2010-07,0.164,
2010-10,0.157,
2011-01,0.148,
2011-04,0.148,
2011-07,0.144,
2011-10,0.135,
2012-01,0.133,
2012-04,0.130,
2012-07,0.127,
2012-10,0.118,
2013-01,0.113,
2013-04,0.109,
2013-07,0.103,
2013-10,0.096,
2014-01,0.094,
2014-04,0.088,
2014-07,0.075,
