"",BBK01.OEAD14M,BBK01.OEAD14M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:12,
2002-01,0.205,
2002-04,0.173,
2002-07,0.146,
2002-10,0.135,
2003-01,0.167,
2003-04,0.141,
2003-07,0.112,
2003-10,0.113,
2004-01,0.139,
2004-04,0.133,
2004-07,0.110,
2004-10,0.124,
2005-01,0.163,
2005-04,0.146,
2005-07,0.144,
2005-10,0.119,
2006-01,0.154,
2006-04,0.148,
2006-07,0.121,
2006-10,0.110,
2007-01,0.121,
2007-04,0.113,
2007-07,0.105,
2007-10,0.116,
2008-01,0.121,
2008-04,0.101,
2008-07,0.086,
2008-10,0.099,
2009-01,0.120,
2009-04,0.106,
2009-07,0.083,
2009-10,0.070,
2010-01,0.122,
2010-04,0.133,
2010-07,0.121,
2010-10,0.106,
2011-01,0.131,
2011-04,0.118,
2011-07,0.104,
2011-10,0.094,
2012-01,0.134,
2012-04,0.108,
2012-07,0.093,
2012-10,0.093,
2013-01,0.110,
2013-04,0.123,
2013-07,0.083,
2013-10,0.057,
2014-01,0.081,
2014-04,0.093,
2014-07,0.066,
