"",BBSF2.M.1.P.00000.IMM01.I.F.BGS.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.BGS.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Developed properties,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:31,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,8933,
1993-05,8946,
1993-06,9139,
1993-07,9250,
1993-08,9475,
1993-09,9633,
1993-10,9725,
1993-11,10165,
1993-12,11065,
1994-01,11360,
1994-02,11652,
1994-03,12127,
1994-04,12019,
1994-05,12140,
1994-06,12387,
1994-07,12706,
1994-08,13478,
1994-09,14359,
1994-10,14423,
1994-11,14591,
1994-12,15310,
1995-01,15151,
1995-02,15208,
1995-03,15353,
1995-04,15424,
1995-05,15448,
1995-06,15720,
1995-07,15839,
1995-08,15947,
1995-09,16277,
1995-10,16338,
1995-11,16355,
1995-12,16756,
1996-01,16919,
1996-02,17566,
1996-03,17902,
1996-04,18204,
1996-05,18347,
1996-06,18735,
1996-07,18972,
1996-08,19411,
1996-09,20308,
1996-10,20597,
1996-11,21065,
1996-12,21991,
1997-01,22255,
1997-02,22487,
1997-03,22854,
1997-04,23234,
1997-05,23521,
1997-06,24145,
1997-07,24380,
1997-08,24432,
1997-09,24772,
1997-10,25062,
1997-11,25292,
1997-12,26208,
1998-01,26433,
1998-02,27024,
1998-03,27478,
1998-04,27697,
1998-05,27769,
1998-06,28129,
1998-07,28215,
1998-08,28333,
1998-09,28045,
1998-10,28007,
1998-11,28476,
1998-12,29378,
1999-01,29692,
1999-02,29906,
1999-03,30336,
1999-04,30537,
1999-05,30925,
1999-06,31324,
1999-07,31536,
1999-08,31707,
1999-09,32698,
1999-10,33162,
1999-11,33463,
1999-12,34493,
2000-01,34953,
2000-02,35037,
2000-03,35519,
2000-04,36210,
2000-05,35856,
2000-06,36107,
2000-07,36652,
2000-08,36887,
2000-09,37660,
2000-10,38022,
2000-11,37904,
2000-12,38297,
2001-01,38555,
2001-02,40700,
2001-03,41265,
2001-04,41320,
2001-05,41937,
2001-06,41984,
2001-07,41917,
2001-08,42097,
2001-09,42696,
2001-10,42916,
2001-11,42960,
2001-12,43623,
2002-01,43779,
2002-02,44311,
2002-03,44647,
2002-04,44858,
2002-05,45462,
2002-06,46194,
2002-07,47394,
2002-08,47447,
2002-09,48537,
2002-10,48731,
2002-11,49331,
2002-12,50705,
2003-01,51300,
2003-02,51714,
2003-03,52987,
2003-04,54526,
2003-05,54756,
2003-06,55876,
2003-07,56850,
2003-08,57993,
2003-09,59483,
2003-10,60908,
2003-11,61608,
2003-12,63772,
2004-01,64553,
2004-02,65647,
2004-03,65654,
2004-04,65505,
2004-05,65772,
2004-06,66396,
2004-07,67320,
2004-08,67143,
2004-09,66975,
2004-10,67434,
2004-11,67674,
2004-12,68857,
2005-01,68974,
2005-02,69416,
2005-03,70590,
2005-04,71137,
2005-05,70586,
2005-06,71076,
2005-07,71331,
2005-08,70844,
2005-09,71255,
2005-10,71061,
2005-11,71110,
2005-12,70295,
2006-01,70221,
2006-02,69935,
2006-03,68154,
2006-04,67991,
2006-05,66452,
2006-06,65769,
2006-07,65801,
2006-08,65214,
2006-09,63717,
2006-10,63123,
2006-11,63801,
2006-12,62530,
2007-01,61649,
2007-02,60549,
2007-03,60509,
2007-04,60206,
2007-05,60002,
2007-06,61057,
2007-07,60734,
2007-08,58871,
2007-09,56003,
2007-10,56098,
2007-11,56568,
2007-12,57457,
2008-01,57175,
2008-02,57349,
2008-03,57544,
2008-04,57995,
2008-05,59013,
2008-06,59344,
2008-07,59501,
2008-08,59604,
2008-09,60998,
2008-10,61885,
2008-11,61536,
2008-12,59635,
2009-01,61261,
2009-02,61750,
2009-03,61397,
2009-04,61695,
2009-05,61978,
2009-06,62252,
2009-07,62457,
2009-08,62427,
2009-09,62826,
2009-10,61603,
2009-11,61467,
2009-12,63064,
2010-01,63789,
2010-02,63675,
2010-03,64056,
2010-04,64308,
2010-05,64740,
2010-06,64893,
2010-07,64627,
2010-08,64681,
2010-09,64193,
2010-10,63775,
2010-11,64083,
2010-12,62764,
2011-01,62529,
2011-02,62469,
2011-03,61959,
2011-04,61619,
2011-05,61721,
2011-06,61079,
2011-07,61580,
2011-08,61756,
2011-09,61654,
2011-10,61534,
2011-11,61708,
2011-12,60813,
2012-01,60747,
2012-02,60508,
2012-03,60133,
2012-04,59920,
2012-05,59742,
2012-06,59895,
2012-07,59978,
2012-08,59554,
2012-09,59789,
2012-10,60205,
2012-11,59597,
2012-12,59188,
2013-01,58750,
2013-02,58637,
2013-03,57790,
2013-04,57359,
2013-05,57571,
2013-06,56991,
2013-07,55928,
2013-08,55654,
2013-09,54895,
2013-10,54307,
2013-11,55078,
2013-12,55042,
2014-01,54979,
2014-02,54631,
2014-03,55061,
2014-04,54934,
2014-05,54849,
2014-06,54869,
2014-07,54587,
2014-08,54326,
2014-09,54486,
2014-10,53485,
2014-11,53044,
