"",BBK01.OELB01T,BBK01.OELB01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:29,
2002-01,2.200,
2002-04,2.237,
2002-07,2.261,
2002-10,2.243,
2003-01,2.263,
2003-04,2.281,
2003-07,2.288,
2003-10,2.297,
2004-01,2.307,
2004-04,2.321,
2004-07,2.335,
2004-10,2.421,
2005-01,2.395,
2005-04,2.401,
2005-07,2.414,
2005-10,2.413,
2006-01,2.406,
2006-04,2.420,
2006-07,2.438,
2006-10,2.388,
2007-01,2.390,
2007-04,2.405,
2007-07,2.397,
2007-10,2.385,
2008-01,2.383,
2008-04,2.408,
2008-07,2.411,
2008-10,2.427,
2009-01,2.437,
2009-04,2.485,
2009-07,2.535,
2009-10,2.566,
2010-01,2.594,
2010-04,2.646,
2010-07,2.661,
2010-10,2.649,
2011-01,2.675,
2011-04,2.723,
2011-07,2.775,
2011-10,2.782,
2012-01,2.825,
2012-04,3.076,
2012-07,3.097,
2012-10,3.110,
2013-01,3.143,
2013-04,3.151,
2013-07,3.196,
2013-10,3.211,
2014-01,3.229,
2014-04,3.289,
2014-07,3.265,
