"",BBK01.WXI005,BBK01.WXI005_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:30,
2009-09,1553,
2009-10,1562,
2009-11,1855,
2009-12,1869,
2010-01,2390,
2010-02,1994,
2010-03,2045,
2010-04,1969,
2010-05,3252,
2010-06,2254,
2010-07,1961,
2010-08,2065,
2010-09,2175,
2010-10,2102,
2010-11,3276,
2010-12,2388,
2011-01,2302,
2011-02,2612,
2011-03,2259,
2011-04,2720,
2011-05,2855,
2011-06,1829,
2011-07,2817,
2011-08,2780,
2011-09,3604,
2011-10,3168,
2011-11,3387,
2011-12,3122,
2012-01,3178,
2012-02,3013,
2012-03,2215,
2012-04,2963,
2012-05,5022,
2012-06,3642,
2012-07,4324,
2012-08,3762,
2012-09,3618,
2012-10,2957,
2012-11,4098,
2012-12,3822,
2013-01,4517,
2013-02,4289,
2013-03,4531,
2013-04,4102,
2013-05,3967,
2013-06,3799,
2013-07,3497,
2013-08,4486,
2013-09,3761,
2013-10,4834,
2013-11,3916,
2013-12,2741,
2014-01,4368,
2014-02,3553,
2014-03,3297,
2014-04,3291,
2014-05,3951,
2014-06,3124,
2014-07,4484,
2014-08,4956,
2014-09,5652,
2014-10,5378,
2014-11,5763,
