"",BBK01.OEAC18S,BBK01.OEAC18S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:36,
2002-01,0.034,
2002-04,0.027,
2002-07,0.012,
2002-10,0.019,
2003-01,0.026,
2003-04,0.031,
2003-07,0.034,
2003-10,0.029,
2004-01,0.049,
2004-04,0.026,
2004-07,0.024,
2004-10,0.048,
2005-01,0.071,
2005-04,0.062,
2005-07,0.073,
2005-10,0.067,
2006-01,0.059,
2006-04,0.047,
2006-07,0.035,
2006-10,0.033,
2007-01,0.042,
2007-04,0.041,
2007-07,0.046,
2007-10,0.077,
2008-01,0.077,
2008-04,0.069,
2008-07,0.070,
2008-10,0.094,
2009-01,0.099,
2009-04,0.118,
2009-07,0.131,
2009-10,0.081,
2010-01,0.098,
2010-04,0.109,
2010-07,0.074,
2010-10,0.101,
2011-01,0.065,
2011-04,0.072,
2011-07,0.073,
2011-10,0.116,
2012-01,0.092,
2012-04,0.087,
2012-07,0.065,
2012-10,0.101,
2013-01,0.073,
2013-04,0.063,
2013-07,0.081,
2013-10,0.051,
2014-01,0.093,
2014-04,0.085,
2014-07,0.063,
