"",BBK01.OEAH08H,BBK01.OEAH08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:45,
2002-01,20.499,
2002-04,20.812,
2002-07,20.911,
2002-10,20.633,
2003-01,20.242,
2003-04,19.744,
2003-07,19.277,
2003-10,19.238,
2004-01,19.052,
2004-04,18.534,
2004-07,18.432,
2004-10,18.431,
2005-01,18.040,
2005-04,17.703,
2005-07,17.220,
2005-10,17.231,
2006-01,17.701,
2006-04,18.457,
2006-07,19.106,
2006-10,20.047,
2007-01,21.436,
2007-04,22.443,
2007-07,23.691,
2007-10,25.051,
2008-01,25.901,
2008-04,26.769,
2008-07,28.070,
2008-10,28.866,
2009-01,26.628,
2009-04,23.358,
2009-07,20.612,
2009-10,19.680,
2010-01,18.778,
2010-04,17.984,
2010-07,17.542,
2010-10,17.527,
2011-01,18.044,
2011-04,19.006,
2011-07,19.293,
2011-10,19.452,
2012-01,18.803,
2012-04,17.949,
2012-07,16.710,
2012-10,15.381,
2013-01,14.002,
2013-04,12.864,
2013-07,12.442,
2013-10,12.071,
2014-01,11.486,
2014-04,10.970,
2014-07,10.415,
