"",BBK01.OEXB09R,BBK01.OEXB09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:48,
2002-01,2.088,
2002-04,2.206,
2002-07,2.304,
2002-10,2.337,
2003-01,2.321,
2003-04,2.383,
2003-07,2.398,
2003-10,2.426,
2004-01,2.465,
2004-04,2.497,
2004-07,2.560,
2004-10,2.411,
2005-01,2.367,
2005-04,2.410,
2005-07,2.406,
2005-10,2.434,
2006-01,2.455,
2006-04,2.518,
2006-07,2.547,
2006-10,2.680,
2007-01,2.763,
2007-04,2.817,
2007-07,2.829,
2007-10,2.948,
2008-01,7.869,
2008-04,3.362,
2008-07,3.406,
2008-10,3.529,
2009-01,3.529,
2009-04,3.653,
2009-07,3.779,
2009-10,3.961,
2010-01,4.082,
2010-04,4.241,
2010-07,4.354,
2010-10,4.449,
2011-01,4.561,
2011-04,4.675,
2011-07,4.736,
2011-10,4.963,
2012-01,5.059,
2012-04,5.170,
2012-07,5.305,
2012-10,5.457,
2013-01,5.570,
2013-04,5.663,
2013-07,5.725,
2013-10,5.927,
2014-01,6.026,
2014-04,5.936,
2014-07,5.971,
