"",BBK01.OEBL05Q,BBK01.OEBL05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:29,
2002-01,0.053,
2002-04,0.048,
2002-07,0.051,
2002-10,0.050,
2003-01,0.050,
2003-04,0.049,
2003-07,0.045,
2003-10,0.040,
2004-01,0.064,
2004-04,0.082,
2004-07,0.113,
2004-10,0.120,
2005-01,0.212,
2005-04,0.214,
2005-07,0.206,
2005-10,0.208,
2006-01,0.209,
2006-04,0.207,
2006-07,0.210,
2006-10,0.215,
2007-01,0.215,
2007-04,0.234,
2007-07,0.233,
2007-10,0.233,
2008-01,0.223,
2008-04,0.218,
2008-07,0.218,
2008-10,0.312,
2009-01,0.371,
2009-04,0.498,
2009-07,0.568,
2009-10,0.612,
2010-01,0.666,
2010-04,0.683,
2010-07,0.698,
2010-10,0.710,
2011-01,0.756,
2011-04,0.745,
2011-07,0.762,
2011-10,0.785,
2012-01,0.807,
2012-04,0.735,
2012-07,0.719,
2012-10,0.702,
2013-01,0.702,
2013-04,0.693,
2013-07,0.686,
2013-10,0.584,
2014-01,0.506,
2014-04,0.483,
2014-07,0.423,
