"",BBFN1.M.DE.N.1.L.NL.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NL.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1985-02,1.389,
1985-03,1.356,
1985-04,1.352,
1985-05,1.329,
1985-06,1.409,
1985-07,1.396,
1985-08,1.446,
1985-09,1.475,
1985-10,1.468,
1985-11,1.458,
1985-12,2.944,
1986-01,2.092,
1986-02,2.050,
1986-03,2.169,
1986-04,2.297,
1986-05,2.197,
1986-06,1.850,
1986-07,1.769,
1986-08,1.721,
1986-09,1.762,
1986-10,1.703,
1986-11,1.776,
1986-12,1.818,
1987-01,1.864,
1987-02,1.827,
1987-03,2.133,
1987-04,2.220,
1987-05,2.246,
1987-06,2.268,
1987-07,2.372,
1987-08,2.443,
1987-09,2.616,
1987-10,2.576,
1987-11,2.535,
1987-12,2.211,
1988-01,2.433,
1988-02,2.454,
1988-03,2.315,
1988-04,2.199,
1988-05,2.108,
1988-06,2.092,
1988-07,2.118,
1988-08,2.240,
1988-09,2.299,
1988-10,2.532,
1988-11,2.625,
1988-12,2.084,
1989-01,2.232,
1989-02,2.325,
1989-03,2.611,
1989-04,2.546,
1989-05,2.471,
1989-06,2.461,
1989-07,2.427,
1989-08,2.516,
1989-09,2.543,
1989-10,2.487,
1989-11,2.664,
1989-12,2.804,
1990-01,2.864,
1990-02,3.112,
1990-03,3.152,
1990-04,3.107,
1990-05,2.921,
1990-06,2.897,
1990-07,3.077,
1990-08,3.027,
1990-09,3.354,
1990-10,3.596,
1990-11,3.874,
1990-12,3.933,
1991-01,3.929,
1991-02,4.109,
1991-03,4.364,
1991-04,4.496,
1991-05,4.371,
1991-06,4.336,
1991-07,4.466,
1991-08,4.679,
1991-09,4.841,
1991-10,4.967,
1991-11,4.864,
1991-12,4.274,
1992-01,4.490,
1992-02,4.531,
1992-03,4.696,
1992-04,4.756,
1992-05,5.166,
1992-06,5.069,
1992-07,5.176,
1992-08,5.038,
1992-09,4.978,
1992-10,4.851,
1992-11,4.925,
1992-12,4.967,
1993-01,4.933,
1993-02,5.178,
1993-03,5.263,
1993-04,5.155,
1993-05,5.453,
1993-06,5.355,
1993-07,5.337,
1993-08,5.476,
1993-09,5.353,
1993-10,5.321,
1993-11,5.383,
1993-12,4.432,
1994-01,4.281,
1994-02,5.093,
1994-03,5.247,
1994-04,4.921,
1994-05,5.057,
1994-06,5.068,
1994-07,4.941,
1994-08,4.817,
1994-09,4.735,
1994-10,4.611,
1994-11,4.643,
1994-12,4.381,
1995-01,5.287,
1995-02,5.568,
1995-03,5.850,
1995-04,5.418,
1995-05,5.509,
1995-06,4.536,
1995-07,4.579,
1995-08,4.548,
1995-09,4.642,
1995-10,4.698,
1995-11,4.642,
1995-12,4.267,
1996-01,4.587,
1996-02,4.850,
1996-03,4.861,
1996-04,4.741,
1996-05,4.654,
1996-06,4.994,
1996-07,4.836,
1996-08,5.011,
1996-09,5.176,
1996-10,5.367,
1996-11,5.492,
1996-12,5.528,
1997-01,4.844,
1997-02,5.580,
1997-03,5.938,
1997-04,6.250,
1997-05,5.983,
1997-06,5.884,
1997-07,5.628,
1997-08,5.881,
1997-09,6.063,
1997-10,6.533,
1997-11,6.632,
1997-12,8.689,
1998-01,7.875,
1998-02,6.652,
1998-03,6.715,
1998-04,6.263,
1998-05,7.595,
1998-06,6.963,
1998-07,7.897,
1998-08,7.574,
1998-09,7.715,
1998-10,7.659,
1998-11,7.963,
1998-12,6.277,
1999-01,6.083,
1999-02,6.273,
1999-03,6.366,
1999-04,8.578,
1999-05,9.618,
1999-06,10.495,
1999-07,10.208,
1999-08,10.263,
1999-09,10.202,
1999-10,9.223,
1999-11,9.941,
1999-12,14.966,
2000-01,12.526,
2000-02,14.884,
2000-03,17.027,
2000-04,18.084,
2000-05,18.166,
2000-06,23.144,
2000-07,24.159,
2000-08,35.618,
2000-09,40.157,
2000-10,41.021,
2000-11,41.883,
2000-12,40.223,
2001-01,38.064,
2001-02,39.325,
2001-03,40.142,
2001-04,40.766,
2001-05,41.652,
2001-06,47.401,
2001-07,47.894,
2001-08,48.145,
2001-09,48.299,
2001-10,47.997,
2001-11,48.428,
2001-12,50.135,
2002-01,49.589,
2002-02,51.260,
2002-03,51.984,
2002-04,51.477,
2002-05,51.729,
2002-06,51.890,
2002-07,50.749,
2002-08,50.698,
2002-09,50.709,
2002-10,50.871,
2002-11,50.431,
2002-12,48.874,
2003-01,46.495,
2003-02,47.752,
2003-03,47.579,
2003-04,49.143,
2003-05,51.929,
2003-06,51.981,
2003-07,51.884,
2003-08,51.806,
2003-09,51.230,
2003-10,50.895,
2003-11,54.101,
2003-12,53.935,
2004-01,56.488,
2004-02,53.819,
2004-03,58.224,
2004-04,57.006,
2004-05,57.499,
2004-06,56.704,
2004-07,55.623,
2004-08,55.917,
2004-09,51.728,
2004-10,50.369,
2004-11,50.498,
2004-12,48.715,
2005-01,48.464,
2005-02,47.488,
2005-03,48.350,
2005-04,48.283,
2005-05,49.616,
2005-06,49.961,
2005-07,48.537,
2005-08,47.792,
2005-09,47.247,
2005-10,49.030,
2005-11,50.232,
2005-12,51.250,
2006-01,47.975,
2006-02,49.982,
2006-03,46.442,
2006-04,49.386,
2006-05,54.104,
2006-06,53.242,
2006-07,49.728,
2006-08,52.838,
2006-09,59.453,
2006-10,59.294,
2006-11,61.377,
2006-12,61.014,
2007-01,63.402,
2007-02,61.511,
2007-03,61.960,
2007-04,61.024,
2007-05,62.966,
2007-06,63.010,
2007-07,62.608,
2007-08,67.033,
2007-09,61.945,
2007-10,62.819,
2007-11,61.747,
2007-12,60.698,
2008-01,57.772,
2008-02,58.372,
2008-03,59.158,
2008-04,62.906,
2008-05,56.845,
2008-06,58.132,
2008-07,55.113,
2008-08,54.002,
2008-09,57.361,
2008-10,56.591,
2008-11,57.164,
2008-12,60.709,
2009-01,60.707,
2009-02,61.163,
2009-03,62.820,
2009-04,63.453,
2009-05,61.030,
2009-06,61.313,
2009-07,60.327,
2009-08,59.518,
2009-09,61.676,
2009-10,64.245,
2009-11,64.828,
2009-12,62.476,
2010-01,58.260,
2010-02,58.321,
2010-03,58.022,
2010-04,59.436,
2010-05,60.783,
2010-06,59.722,
2010-07,57.520,
2010-08,59.834,
2010-09,64.237,
2010-10,62.048,
2010-11,62.007,
2010-12,71.867,
2011-01,64.658,
2011-02,64.277,
2011-03,62.512,
2011-04,63.792,
2011-05,67.354,
2011-06,73.963,
2011-07,79.066,
2011-08,78.466,
2011-09,83.876,
2011-10,77.276,
2011-11,77.342,
2011-12,89.655,
2012-01,85.027,
2012-02,84.332,
2012-03,80.970,
2012-04,79.063,
2012-05,77.735,
2012-06,82.958,
2012-07,80.662,
2012-08,79.106,
2012-09,82.346,
2012-10,83.622,
2012-11,82.561,
2012-12,88.846,
2013-01,81.771,
2013-02,76.966,
2013-03,80.467,
2013-04,84.129,
2013-05,89.637,
2013-06,88.706,
2013-07,92.315,
2013-08,92.425,
2013-09,94.948,
2013-10,88.099,
2013-11,87.530,
2013-12,92.356,
2014-01,87.286,
2014-02,86.482,
2014-03,84.545,
2014-04,85.153,
2014-05,86.055,
2014-06,92.097,
2014-07,85.781,
2014-08,86.360,
2014-09,80.184,
2014-10,78.511,
2014-11,83.243,
2014-12,68.083,
