"",BBK01.OEAD03N,BBK01.OEAD03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:24,
2002-01,1.932,
2002-04,1.877,
2002-07,1.809,
2002-10,1.759,
2003-01,1.764,
2003-04,1.733,
2003-07,1.678,
2003-10,1.640,
2004-01,1.651,
2004-04,1.631,
2004-07,1.594,
2004-10,1.490,
2005-01,1.563,
2005-04,1.495,
2005-07,1.417,
2005-10,1.364,
2006-01,1.420,
2006-04,1.480,
2006-07,1.443,
2006-10,1.449,
2007-01,1.490,
2007-04,1.497,
2007-07,1.525,
2007-10,2.056,
2008-01,2.020,
2008-04,2.056,
2008-07,2.023,
2008-10,2.120,
2009-01,2.048,
2009-04,1.869,
2009-07,1.808,
2009-10,1.715,
2010-01,1.658,
2010-04,1.665,
2010-07,1.664,
2010-10,1.557,
2011-01,1.638,
2011-04,1.611,
2011-07,1.594,
2011-10,1.505,
2012-01,1.529,
2012-04,1.570,
2012-07,1.525,
2012-10,1.493,
2013-01,1.615,
2013-04,1.615,
2013-07,1.565,
2013-10,1.517,
2014-01,1.552,
2014-04,1.621,
2014-07,1.630,
