"",BBK01.OEXK01L,BBK01.OEXK01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:58,
2002-01,2.406,
2002-04,3.138,
2002-07,3.656,
2002-10,3.802,
2003-01,5.113,
2003-04,5.699,
2003-07,5.635,
2003-10,5.574,
2004-01,6.586,
2004-04,7.160,
2004-07,7.525,
2004-10,7.917,
2005-01,8.024,
2005-04,8.471,
2005-07,8.449,
2005-10,8.442,
2006-01,8.590,
2006-04,8.775,
2006-07,8.855,
2006-10,8.608,
2007-01,8.770,
2007-04,8.984,
2007-07,9.160,
2007-10,9.396,
2008-01,9.496,
2008-04,9.568,
2008-07,10.669,
2008-10,10.003,
2009-01,10.074,
2009-04,9.193,
2009-07,9.949,
2009-10,10.574,
2010-01,11.223,
2010-04,11.521,
2010-07,11.458,
2010-10,11.348,
2011-01,12.189,
2011-04,12.781,
2011-07,12.866,
2011-10,12.914,
2012-01,13.219,
2012-04,13.111,
2012-07,13.053,
2012-10,13.551,
2013-01,14.182,
2013-04,14.504,
2013-07,15.009,
2013-10,14.483,
2014-01,14.842,
2014-04,15.622,
2014-07,15.410,
