"",BBK01.OEAH10S,BBK01.OEAH10S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:11,
2002-01,1.542,
2002-04,1.586,
2002-07,1.590,
2002-10,1.581,
2003-01,1.573,
2003-04,1.552,
2003-07,1.540,
2003-10,1.535,
2004-01,1.556,
2004-04,1.578,
2004-07,1.540,
2004-10,1.569,
2005-01,1.542,
2005-04,1.537,
2005-07,1.519,
2005-10,1.496,
2006-01,1.477,
2006-04,1.463,
2006-07,1.454,
2006-10,1.440,
2007-01,1.405,
2007-04,1.386,
2007-07,1.372,
2007-10,1.350,
2008-01,1.310,
2008-04,1.276,
2008-07,1.263,
2008-10,1.227,
2009-01,1.185,
2009-04,1.160,
2009-07,1.115,
2009-10,1.138,
2010-01,1.140,
2010-04,1.099,
2010-07,1.053,
2010-10,1.027,
2011-01,1.013,
2011-04,1.041,
2011-07,1.022,
2011-10,1.051,
2012-01,1.039,
2012-04,1.024,
2012-07,0.998,
2012-10,0.889,
2013-01,0.855,
2013-04,0.866,
2013-07,0.872,
2013-10,0.884,
2014-01,0.905,
2014-04,0.944,
2014-07,0.991,
