"",BBK01.OEAI04Q,BBK01.OEAI04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:27,
2002-01,7.582,
2002-04,7.259,
2002-07,6.710,
2002-10,7.082,
2003-01,6.560,
2003-04,5.569,
2003-07,5.511,
2003-10,5.378,
2004-01,5.462,
2004-04,5.793,
2004-07,5.362,
2004-10,10.282,
2005-01,8.657,
2005-04,8.531,
2005-07,8.991,
2005-10,9.359,
2006-01,9.245,
2006-04,10.324,
2006-07,10.371,
2006-10,10.658,
2007-01,11.149,
2007-04,12.347,
2007-07,14.141,
2007-10,18.083,
2008-01,19.232,
2008-04,24.421,
2008-07,25.895,
2008-10,24.101,
2009-01,23.232,
2009-04,20.411,
2009-07,19.413,
2009-10,17.749,
2010-01,17.672,
2010-04,22.616,
2010-07,23.556,
2010-10,21.425,
2011-01,14.039,
2011-04,14.379,
2011-07,15.233,
2011-10,15.565,
2012-01,15.165,
2012-04,17.875,
2012-07,18.798,
2012-10,19.224,
2013-01,15.313,
2013-04,15.889,
2013-07,14.840,
2013-10,15.039,
2014-01,15.857,
2014-04,16.434,
2014-07,15.804,
