"",BBK01.OEHI01N,BBK01.OEHI01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:28,
2002-01,153.507,
2002-04,154.372,
2002-07,153.026,
2002-10,158.033,
2003-01,157.013,
2003-04,157.265,
2003-07,155.003,
2003-10,157.852,
2004-01,156.313,
2004-04,155.949,
2004-07,155.191,
2004-10,157.121,
2005-01,155.428,
2005-04,156.545,
2005-07,155.982,
2005-10,158.760,
2006-01,158.201,
2006-04,158.268,
2006-07,158.116,
2006-10,161.220,
2007-01,159.318,
2007-04,159.976,
2007-07,162.340,
2007-10,164.606,
2008-01,163.982,
2008-04,164.272,
2008-07,165.261,
2008-10,171.902,
2009-01,171.409,
2009-04,172.913,
2009-07,173.000,
2009-10,175.734,
2010-01,175.596,
2010-04,177.498,
2010-07,177.844,
2010-10,182.077,
2011-01,180.562,
2011-04,181.363,
2011-07,183.565,
2011-10,186.112,
2012-01,185.951,
2012-04,188.190,
2012-07,188.725,
2012-10,189.939,
2013-01,190.133,
2013-04,190.834,
2013-07,191.513,
2013-10,194.402,
2014-01,194.252,
2014-04,193.817,
2014-07,194.983,
