"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F521._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F521._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Investmentfondsanteile / Money market fund Shares / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:43,
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,2826.219,
1994-09,1659.135,
1994-10,966.141,
1994-11,713.291,
1994-12,2197.268,
1995-01,-58.249,
1995-02,-187.623,
1995-03,-365.270,
1995-04,50.863,
1995-05,-162.811,
1995-06,-135.653,
1995-07,-86.375,
1995-08,-75.613,
1995-09,-46.065,
1995-10,143.168,
1995-11,-33.394,
1995-12,1395.130,
1996-01,-117.127,
1996-02,-82.959,
1996-03,-395.541,
1996-04,-264.930,
1996-05,-613.408,
1996-06,-496.392,
1996-07,-276.507,
1996-08,-167.702,
1996-09,-144.630,
1996-10,-85.560,
1996-11,-213.911,
1996-12,100.769,
1997-01,-273.318,
1997-02,-158.272,
1997-03,-301.128,
1997-04,-69.691,
1997-05,-58.693,
1997-06,-97.127,
1997-07,77.242,
1997-08,125.653,
1997-09,-6.068,
1997-10,-245.383,
1997-11,58.883,
1997-12,-263.349,
1998-01,246.258,
1998-02,236.883,
1998-03,144.953,
1998-04,255.207,
1998-05,109.315,
1998-06,-23.683,
1998-07,194.898,
1998-08,168.664,
1998-09,58.227,
1998-10,80.431,
1998-11,76.700,
1998-12,299.227,
1999-01,613.297,
1999-02,286.719,
1999-03,133.593,
1999-04,-0.256,
1999-05,138.373,
1999-06,-91.512,
1999-07,60.695,
1999-08,76.900,
1999-09,-20.163,
1999-10,-203.724,
1999-11,-399.657,
1999-12,-133.629,
2000-01,281.615,
2000-02,404.488,
2000-03,-192.961,
2000-04,-314.390,
2000-05,122.541,
2000-06,-426.051,
2000-07,-603.854,
2000-08,379.639,
2000-09,-289.113,
2000-10,-36.098,
2000-11,54.244,
2000-12,-236.984,
2001-01,630.571,
2001-02,444.744,
2001-03,443.473,
2001-04,280.371,
2001-05,398.905,
2001-06,278.905,
2001-07,520.811,
2001-08,634.000,
2001-09,-26.602,
2001-10,653.572,
2001-11,152.128,
2001-12,342.361,
2002-01,191.081,
2002-02,1136.408,
2002-03,29.111,
2002-04,-26.250,
2002-05,264.054,
2002-06,-345.117,
2002-07,981.993,
2002-08,485.750,
2002-09,-49.654,
2002-10,169.325,
2002-11,294.391,
2002-12,-784.381,
2003-01,2440.868,
2003-02,666.810,
2003-03,514.461,
2003-04,-230.642,
2003-05,18.972,
2003-06,-56.904,
2003-07,-302.909,
2003-08,-32.643,
2003-09,-455.784,
2003-10,-22.553,
2003-11,-287.355,
2003-12,-458.588,
2004-01,40.516,
2004-02,96.463,
2004-03,-58.951,
2004-04,373.240,
2004-05,-150.809,
2004-06,78.930,
2004-07,-403.915,
2004-08,-125.297,
2004-09,237.437,
2004-10,-158.405,
2004-11,-1397.055,
2004-12,-227.967,
2005-01,368.690,
2005-02,-137.446,
2005-03,-445.125,
2005-04,-106.040,
2005-05,-14.406,
2005-06,334.905,
2005-07,-104.490,
2005-08,129.634,
2005-09,99.779,
2005-10,9.400,
2005-11,-402.469,
2005-12,-233.585,
2006-01,72.108,
2006-02,504.501,
2006-03,160.820,
2006-04,6.830,
2006-05,757.031,
2006-06,253.687,
2006-07,47.824,
2006-08,408.399,
2006-09,444.274,
2006-10,-240.678,
2006-11,103.312,
2006-12,1604.112,
2007-01,2725.890,
2007-02,2048.050,
2007-03,57.852,
2007-04,1798.930,
2007-05,2993.019,
2007-06,737.680,
2007-07,2497.834,
2007-08,-138.124,
2007-09,893.523,
2007-10,2379.469,
2007-11,-809.391,
2007-12,802.910,
2008-01,2418.747,
2008-02,1898.072,
2008-03,748.088,
2008-04,13.515,
2008-05,2083.180,
2008-06,-4235.443,
2008-07,52.290,
2008-08,342.864,
2008-09,-1497.450,
2008-10,-6649.687,
2008-11,-1029.416,
2008-12,-2224.741,
2009-01,-466.085,
2009-02,-645.976,
2009-03,332.911,
2009-04,-1484.560,
2009-05,-89.878,
2009-06,3022.950,
2009-07,2083.952,
2009-08,-1336.415,
2009-09,-3254.448,
2009-10,-23.316,
2009-11,-64.946,
2009-12,-2642.990,
2010-01,1661.401,
2010-02,95.192,
2010-03,-747.234,
2010-04,-95.850,
2010-05,-3067.671,
2010-06,-224.582,
2010-07,-452.368,
2010-08,922.840,
2010-09,-211.060,
2010-10,409.843,
2010-11,2952.760,
2010-12,-2876.435,
2011-01,1078.983,
2011-02,1419.180,
2011-03,-1880.337,
2011-04,375.691,
2011-05,-1180.472,
2011-06,-82.563,
2011-07,850.959,
2011-08,232.248,
2011-09,53.576,
2011-10,1530.369,
2011-11,-50.803,
2011-12,-1093.495,
2012-01,446.533,
2012-02,-342.677,
2012-03,841.085,
2012-04,-1584.104,
2012-05,-1132.794,
2012-06,541.451,
2012-07,297.138,
2012-08,519.658,
2012-09,-320.662,
2012-10,-1.136,
2012-11,191.817,
2012-12,902.510,
2013-01,-1432.616,
2013-02,-1084.217,
2013-03,-219.186,
2013-04,-816.469,
2013-05,-953.202,
2013-06,708.789,
2013-07,-4.404,
2013-08,575.384,
2013-09,106.154,
2013-10,482.639,
2013-11,-354.128,
2013-12,-537.454,
2014-01,-682.931,
2014-02,1492.822,Provisional value
2014-03,258.398,Provisional value
2014-04,-595.524,Provisional value
2014-05,-1765.008,Provisional value
2014-06,338.502,Provisional value
2014-07,-211.816,Provisional value
2014-08,989.502,Provisional value
2014-09,1768.009,
2014-10,393.524,
2014-11,2084.045,
2014-12,-859.244,Provisional value
