"",BBK01.OEXI04P,BBK01.OEXI04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:50,
2002-01,0.179,
2002-04,0.166,
2002-07,0.180,
2002-10,0.176,
2003-01,0.179,
2003-04,0.163,
2003-07,0.132,
2003-10,0.073,
2004-01,0.075,
2004-04,0.068,
2004-07,0.067,
2004-10,0.065,
2005-01,0.066,
2005-04,0.065,
2005-07,0.070,
2005-10,0.127,
2006-01,0.140,
2006-04,0.123,
2006-07,0.105,
2006-10,0.118,
2007-01,0.183,
2007-04,0.159,
2007-07,0.178,
2007-10,0.194,
2008-01,0.303,
2008-04,0.307,
2008-07,0.208,
2008-10,0.365,
2009-01,0.398,
2009-04,0.264,
2009-07,0.272,
2009-10,0.228,
2010-01,0.358,
2010-04,0.105,
2010-07,0.195,
2010-10,0.153,
2011-01,0.275,
2011-04,0.316,
2011-07,0.307,
2011-10,0.377,
2012-01,0.366,
2012-04,0.424,
2012-07,0.482,
2012-10,0.403,
2013-01,0.387,
2013-04,0.347,
2013-07,0.278,
2013-10,0.187,
2014-01,0.201,
2014-04,0.187,
2014-07,0.106,
