"",BBK01.OUL247,BBK01.OUL247_FLAGS
"",Time deposits of non-profit institutions / for more than two years / Credit cooperatives,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:21:23,
1999-01,2.044,
1999-02,2.008,
1999-03,1.967,
1999-04,1.977,
1999-05,1.949,
1999-06,1.946,
1999-07,1.847,
1999-08,1.830,
1999-09,1.817,
1999-10,1.830,
1999-11,1.813,
1999-12,1.839,
2000-01,1.770,
2000-02,1.867,
2000-03,1.900,
2000-04,1.900,
2000-05,1.862,
2000-06,1.873,
2000-07,1.922,
2000-08,1.988,
2000-09,2.033,
2000-10,2.058,
2000-11,2.064,
2000-12,2.135,
2001-01,2.139,
2001-02,2.157,
2001-03,2.177,
2001-04,2.141,
2001-05,2.131,
2001-06,2.148,
2001-07,2.187,
2001-08,2.204,
2001-09,2.224,
2001-10,2.232,
2001-11,2.260,
2001-12,2.353,
2002-01,2.388,
2002-02,2.430,
2002-03,2.435,
2002-04,2.456,
2002-05,2.497,
2002-06,2.505,
2002-07,2.510,
2002-08,2.503,
2002-09,2.531,
2002-10,2.514,
2002-11,2.570,
2002-12,2.624,
2003-01,2.615,
2003-02,2.636,
2003-03,2.625,
2003-04,2.609,
2003-05,2.632,
2003-06,2.612,
2003-07,2.577,
2003-08,2.476,
2003-09,2.533,
2003-10,2.498,
2003-11,2.522,
2003-12,2.566,
2004-01,2.629,
2004-02,2.619,
2004-03,2.609,
2004-04,2.652,
2004-05,2.715,
2004-06,2.755,
2004-07,2.776,
2004-08,2.846,
2004-09,2.812,
2004-10,2.977,
2004-11,2.969,
2004-12,3.005,
2005-01,3.005,
2005-02,2.945,
2005-03,2.949,
2005-04,2.944,
2005-05,2.915,
2005-06,2.975,
2005-07,2.998,
2005-08,3.064,
2005-09,3.021,
2005-10,2.985,
2005-11,2.956,
2005-12,3.036,
2006-01,3.004,
2006-02,3.013,
2006-03,3.026,
2006-04,3.047,
2006-05,3.089,
2006-06,3.064,
2006-07,3.060,
2006-08,3.080,
2006-09,3.078,
2006-10,3.011,
2006-11,2.998,
2006-12,3.009,
2007-01,3.002,
2007-02,2.991,
2007-03,3.064,
2007-04,3.144,
2007-05,3.130,
2007-06,3.126,
2007-07,3.181,
2007-08,3.156,
2007-09,3.291,
2007-10,3.333,
2007-11,3.350,
2007-12,3.361,
2008-01,3.435,
2008-02,3.487,
2008-03,3.584,
2008-04,3.570,
2008-05,3.781,
2008-06,3.840,
2008-07,3.729,
2008-08,3.892,
2008-09,1.539,
2008-10,1.536,
2008-11,1.529,
2008-12,1.499,
2009-01,1.483,
2009-02,1.479,
2009-03,1.489,
2009-04,1.495,
2009-05,1.493,
2009-06,1.467,
2009-07,1.466,
2009-08,1.481,
2009-09,1.483,
2009-10,1.482,
2009-11,1.487,
2009-12,1.471,
2010-01,1.444,
2010-02,1.446,
2010-03,1.465,
2010-04,1.469,
2010-05,1.468,
2010-06,1.469,
2010-07,1.456,
2010-08,1.451,
2010-09,1.442,
2010-10,1.474,
2010-11,1.453,
2010-12,1.484,
2011-01,1.477,
2011-02,1.506,
2011-03,1.526,
2011-04,1.529,
2011-05,1.643,
2011-06,1.676,
2011-07,1.690,
2011-08,1.679,
2011-09,1.679,
2011-10,1.661,
2011-11,1.723,
2011-12,1.720,
2012-01,1.735,
2012-02,1.716,
2012-03,1.699,
2012-04,1.667,
2012-05,1.665,
2012-06,1.692,
2012-07,1.680,
2012-08,1.674,
2012-09,1.673,
2012-10,1.658,
2012-11,1.741,
2012-12,1.739,
2013-01,1.741,
2013-02,1.759,
2013-03,1.762,
2013-04,1.759,
2013-05,1.786,
2013-06,1.759,
2013-07,1.769,
2013-08,1.767,
2013-09,1.778,
2013-10,1.787,
2013-11,1.805,
2013-12,1.848,
2014-01,1.876,
2014-02,1.912,
2014-03,1.930,
2014-04,1.929,
2014-05,1.997,
2014-06,2.025,
2014-07,2.050,
2014-08,2.071,
2014-09,2.047,
2014-10,2.054,
2014-11,2.050,
2014-12,2.091,Provisional value
