"",BBK01.OEAB02G,BBK01.OEAB02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:23,
2002-01,57.590,
2002-04,59.331,
2002-07,60.571,
2002-10,57.612,
2003-01,55.847,
2003-04,59.836,
2003-07,55.055,
2003-10,55.704,
2004-01,55.009,
2004-04,52.706,
2004-07,49.959,
2004-10,52.130,
2005-01,48.454,
2005-04,49.470,
2005-07,46.193,
2005-10,43.983,
2006-01,46.720,
2006-04,47.671,
2006-07,49.278,
2006-10,47.170,
2007-01,50.242,
2007-04,55.058,
2007-07,60.866,
2007-10,67.554,
2008-01,65.168,
2008-04,62.204,
2008-07,63.319,
2008-10,66.375,
2009-01,71.057,
2009-04,69.690,
2009-07,69.947,
2009-10,65.124,
2010-01,67.898,
2010-04,68.827,
2010-07,69.524,
2010-10,64.285,
2011-01,67.835,
2011-04,65.578,
2011-07,64.649,
2011-10,60.396,
2012-01,63.786,
2012-04,66.591,
2012-07,67.949,
2012-10,60.785,
2013-01,63.648,
2013-04,58.453,
2013-07,54.110,
2013-10,48.873,
2014-01,51.920,
2014-04,52.254,
2014-07,50.428,
