"",BBSF2.M.1.P.00000.GEM01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.GEM01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Public funds / Mixed securities funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:51,
2009-09,36,
2009-10,27,
2009-11,30,
2009-12,29,
2010-01,38,
2010-02,48,
2010-03,44,
2010-04,68,
2010-05,45,
2010-06,75,
2010-07,96,
2010-08,79,
2010-09,40,
2010-10,32,
2010-11,35,
2010-12,83,
2011-01,88,
2011-02,92,
2011-03,118,
2011-04,113,
2011-05,140,
2011-06,134,
2011-07,134,
2011-08,138,
2011-09,104,
2011-10,118,
2011-11,106,
2011-12,95,
2012-01,74,
2012-02,84,
2012-03,95,
2012-04,105,
2012-05,98,
2012-06,112,
2012-07,98,
2012-08,83,
2012-09,80,
2012-10,110,
2012-11,125,
2012-12,159,
2013-01,162,
2013-02,146,
2013-03,148,
2013-04,185,
2013-05,171,
2013-06,222,
2013-07,260,
2013-08,287,
2013-09,305,
2013-10,312,
2013-11,308,
2013-12,261,
2014-01,273,
2014-02,265,
2014-03,209,
2014-04,182,
2014-05,111,
2014-06,110,
2014-07,113,
2014-08,92,
2014-09,82,
2014-10,120,
2014-11,127,
