"",BBK01.OEAF07K,BBK01.OEAF07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:00,
2002-01,0.677,
2002-04,0.678,
2002-07,0.685,
2002-10,0.711,
2003-01,0.658,
2003-04,0.654,
2003-07,0.610,
2003-10,0.576,
2004-01,0.540,
2004-04,0.553,
2004-07,0.567,
2004-10,1.153,
2005-01,0.567,
2005-04,0.557,
2005-07,0.570,
2005-10,0.576,
2006-01,0.508,
2006-04,0.508,
2006-07,0.507,
2006-10,0.494,
2007-01,0.482,
2007-04,0.470,
2007-07,0.481,
2007-10,0.481,
2008-01,0.476,
2008-04,0.482,
2008-07,0.477,
2008-10,0.475,
2009-01,0.492,
2009-04,0.445,
2009-07,0.447,
2009-10,0.432,
2010-01,0.417,
2010-04,0.415,
2010-07,0.462,
2010-10,0.438,
2011-01,0.424,
2011-04,0.532,
2011-07,0.458,
2011-10,0.452,
2012-01,0.448,
2012-04,0.449,
2012-07,0.457,
2012-10,0.460,
2013-01,0.465,
2013-04,0.476,
2013-07,0.460,
2013-10,0.390,
2014-01,0.387,
2014-04,0.380,
2014-07,0.378,
