"",BBK01.OEAD38K,BBK01.OEAD38K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:49,
2002-01,0.891,
2002-04,0.903,
2002-07,0.882,
2002-10,0.837,
2003-01,0.795,
2003-04,0.734,
2003-07,0.714,
2003-10,0.700,
2004-01,0.654,
2004-04,0.668,
2004-07,0.626,
2004-10,0.665,
2005-01,0.705,
2005-04,0.654,
2005-07,0.691,
2005-10,0.688,
2006-01,0.635,
2006-04,0.609,
2006-07,0.599,
2006-10,0.658,
2007-01,0.493,
2007-04,0.518,
2007-07,0.604,
2007-10,0.557,
2008-01,0.643,
2008-04,0.670,
2008-07,0.677,
2008-10,0.707,
2009-01,0.597,
2009-04,0.599,
2009-07,0.594,
2009-10,0.573,
2010-01,0.533,
2010-04,0.551,
2010-07,0.551,
2010-10,0.529,
2011-01,0.528,
2011-04,0.523,
2011-07,0.540,
2011-10,0.532,
2012-01,0.513,
2012-04,0.490,
2012-07,0.546,
2012-10,0.509,
2013-01,0.471,
2013-04,0.514,
2013-07,0.508,
2013-10,0.388,
2014-01,0.366,
2014-04,0.382,
2014-07,0.375,
