"",BBK01.OEAF38J,BBK01.OEAF38J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:56,
2002-01,0.058,
2002-04,0.060,
2002-07,0.064,
2002-10,0.063,
2003-01,0.064,
2003-04,0.068,
2003-07,0.072,
2003-10,0.073,
2004-01,0.076,
2004-04,0.070,
2004-07,0.072,
2004-10,0.067,
2005-01,0.069,
2005-04,0.076,
2005-07,0.077,
2005-10,0.076,
2006-01,0.076,
2006-04,0.076,
2006-07,0.075,
2006-10,0.075,
2007-01,0.093,
2007-04,0.095,
2007-07,0.101,
2007-10,0.095,
2008-01,0.096,
2008-04,0.096,
2008-07,0.076,
2008-10,0.076,
2009-01,0.077,
2009-04,0.075,
2009-07,0.078,
2009-10,0.075,
2010-01,0.090,
2010-04,0.084,
2010-07,0.083,
2010-10,0.082,
2011-01,0.080,
2011-04,0.080,
2011-07,0.079,
2011-10,0.079,
2012-01,0.074,
2012-04,0.081,
2012-07,0.077,
2012-10,0.075,
2013-01,0.073,
2013-04,0.072,
2013-07,0.074,
2013-10,0.069,
2014-01,0.068,
2014-04,0.067,
2014-07,0.065,
